B,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
0.0,0.05540371332785812,0.05540371332785777,0.24876886052370623,0.23302905962327738,0.16059930671566047,0.016054596918437247,0.1086765146046452,0.013387720353912573,0.10867651460464499
0.05,0.05540371332785812,0.05540371332785777,0.24876886052370623,0.23302905962327738,0.16059930671566047,0.016054596918437247,0.1086765146046452,0.013387720353912573,0.10867651460464499
0.1,0.05540371332785812,0.05540371332785777,0.24876886052370623,0.23302905962327738,0.16059930671566047,0.016054596918437247,0.1086765146046452,0.013387720353912573,0.10867651460464499
0.15,0.05540371332785812,0.05540371332785777,0.24876886052370623,0.23302905962327738,0.16059930671566047,0.016054596918437247,0.1086765146046452,0.013387720353912573,0.10867651460464499
0.2,0.0489603588754473,0.05882869776006034,0.2590885648492866,0.2243059214193348,0.16113149542287447,0.01612117002488692,0.11539475329858116,0.02013141132461053,0.09603762702491764
0.25,0.0489603588754473,0.05882869776006034,0.2590885648492866,0.2243059214193348,0.16113149542287447,0.01612117002488692,0.11539475329858116,0.02013141132461053,0.09603762702491764
0.3,0.0489603588754473,0.05882869776006034,0.2590885648492866,0.2243059214193348,0.16113149542287447,0.01612117002488692,0.11539475329858116,0.02013141132461053,0.09603762702491764
0.35,0.0489603588754473,0.05882869776006034,0.2590885648492866,0.2243059214193348,0.16113149542287447,0.01612117002488692,0.11539475329858116,0.02013141132461053,0.09603762702491764
0.4,0.0489603588754473,0.05882869776006034,0.2590885648492866,0.2243059214193348,0.16113149542287447,0.01612117002488692,0.11539475329858116,0.02013141132461053,0.09603762702491764
0.45,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
0.5,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
0.55,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
0.6,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
0.65,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
0.7,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
0.75,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
0.8,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
0.85,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
0.9,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
0.95,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.0,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.05,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.1,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.15,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.2,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.25,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.3,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.35,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.4,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.45,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.5,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.55,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
