id,s,mu
0,10,0.0001
1,10,0.0001623776739188721
2,10,0.00026366508987303583
3,10,0.00042813323987193956
4,10,0.0006951927961775605
5,10,0.0011288378916846883
6,10,0.0018329807108324356
7,10,0.002976351441631319
8,10,0.004832930238571752
9,10,0.007847599703514606
10,10,0.012742749857031334
11,10,0.0206913808111479
12,10,0.03359818286283781
13,10,0.05455594781168514
14,10,0.08858667904100823
15,10,0.14384498882876628
16,10,0.23357214690901212
17,10,0.3792690190732246
18,10,0.615848211066026
19,10,1.0
