s,X,Y,S
0.0001,0.33219746702014047,0.3359655270083556,0.331837005971504
0.00014563484775012445,0.3316774402648508,0.33716978956444693,0.33115277017070227
0.00021209508879201905,0.33091823230717443,0.33892701902825356,0.33015474866457195
0.00030888435964774815,0.32980862574454917,0.34149329068491246,0.3286980835705383
0.0004498432668969444,0.32818438546118667,0.3452455734648807,0.3265700410739325
0.0006551285568595509,0.32580164233271125,0.3507410462962333,0.3234573113710555
0.0009540954763499944,0.3222956928836522,0.3588074107741755,0.31889689634217233
0.0013894954943731374,0.3171164293111306,0.370680955820881,0.3122026148679884
0.0020235896477251557,0.3094268020480068,0.38821588858048484,0.3023573093715084
0.0029470517025518097,0.29794655404758913,0.41418791451582676,0.2878655314365842
0.004291934260128779,0.2807336445001968,0.45267140069046835,0.2665949548093348
0.0062505519252739694,0.25497614606987967,0.5092559824415749,0.23576787148854544
0.009102981779915217,0.2171967582925261,0.5901416169943503,0.19266162471312367
0.013257113655901081,0.16514239787710394,0.6975701248972508,0.13728747722564522
0.019306977288832496,0.10313932152106257,0.8192530838172595,0.07760759466167785
0.02811768697974228,0.0469661352922518,0.9225217233216085,0.03051214138613969
0.040949150623804234,0.013518532720324127,0.9792988648679981,0.007182602411677904
0.05963623316594643,0.0020718044307954796,0.9970691535034427,0.0008590420657615904
0.08685113737513521,0.0001316014854878356,0.9998266612620765,4.173725243569961e-05
0.12648552168552957,2.3495542568787048e-06,0.9999970729164793,5.775292636500388e-07
0.18420699693267145,6.6308160482932915e-09,0.9999999921137955,1.2553884234740996e-09
0.2682695795279725,0.0,1.0,0.0
0.3906939937054613,0.0,1.0,0.0
0.5689866029018293,0.0,1.0,0.0
0.8286427728546842,0.0,1.0,0.0
1.2067926406393288,0.0,1.0,0.0
1.7575106248547894,0.0,1.0,0.0
2.559547922699533,0.0,1.0,0.0
3.727593720314938,0.0,1.0,0.0
5.428675439323859,0.0,1.0,0.0
7.9060432109076855,0.0,1.0,0.0
11.513953993264458,0.0,1.0,0.0
16.768329368110066,0.0,1.0,0.0
24.420530945486497,0.0,1.0,0.0
35.564803062231285,0.0,1.0,0.0
51.79474679231202,0.0,1.0,0.0
75.43120063354607,0.0,1.0,0.0
109.85411419875572,0.0,1.0,0.0
159.98587196060572,0.0,1.0,0.0
232.99518105153672,0.0,1.0,0.0
339.3221771895323,0.0,1.0,0.0
494.1713361323828,0.0,1.0,0.0
719.6856730011514,0.0,1.0,0.0
1048.1131341546852,0.0,1.0,0.0
1526.4179671752302,0.0,1.0,0.0
2222.996482526191,0.0,1.0,0.0
3237.45754281764,0.0,1.0,0.0
4714.8663634573895,0.0,1.0,0.0
6866.488450042998,0.0,1.0,0.0
10000.0,0.0,1.0,0.0
