s,X,Y,R,S
0.0001,0.24979222067801946,0.2518812156008919,0.2487369257880894,0.24958963793299926
0.00014563484775012445,0.24969513890510925,0.2527427555593682,0.24816171968670067,0.24940038584882185
0.00021209508879201905,0.24955121949666786,0.25400086587325804,0.2473253638193253,0.24912255081074883
0.00030888435964774815,0.24933625068006582,0.2558403147964025,0.24611019291066707,0.2487132416128647
0.0004498432668969444,0.24901179418951117,0.258534392722815,0.24434656376613192,0.24810724932154182
0.0006551285568595509,0.24851515660946996,0.26248989713766646,0.24179106399398156,0.24720388225888196
0.0009540954763499944,0.2477408587344236,0.26831753023455324,0.23809704761708406,0.24584456341393915
0.0013894954943731374,0.24650550300450405,0.2769441171496322,0.2327765594593887,0.24377382038647516
0.0020235896477251557,0.24448002253000956,0.2897943016747352,0.2251554945245028,0.24057018127075233
0.0029470517025518097,0.24105871751057376,0.3090855900157303,0.2143316139638677,0.23552407850982823
0.004291934260128779,0.23511281971601455,0.33829149617068965,0.1991645011082731,0.22743118300502274
0.0062505519252739694,0.22456735010508466,0.38277182664321946,0.1783713907919222,0.21428943245977378
0.009102981779915217,0.20586462862174,0.4501929401890522,0.15089122358814278,0.19305120760106503
0.013257113655901081,0.17407210957616975,0.5489403026736099,0.11679074810556668,0.16019683964465356
0.019306977288832496,0.12624786099623087,0.6798900273509028,0.07883290737365196,0.11502920427921458
0.02811768697974228,0.07024292748645218,0.820460403705076,0.04349052931245322,0.06580613949601842
0.040949150623804234,0.026470751056177615,0.9273445334959539,0.0181568573123174,0.028027858135551035
0.05963623316594643,0.006189382676349364,0.9800536772003379,0.005219614061739081,0.008537326061573782
0.08685113737513521,0.0008574581374912009,0.9965706986231475,0.0009010405498735861,0.0016708026894879857
0.12648552168552957,6.294999430063485e-05,0.9996988569736932,7.539185764039723e-05,0.00016280117436586272
0.18420699693267145,1.7345378048921283e-06,0.9999907858636256,2.173345082798169e-06,5.306253486524739e-06
0.2682695795279725,9.842516797589386e-09,0.999999945323664,1.2573365742190306e-08,3.226045372590683e-08
0.3906939937054613,0.0,1.0,0.0,0.0
0.5689866029018293,0.0,1.0,0.0,0.0
0.8286427728546842,0.0,1.0,0.0,0.0
1.2067926406393288,0.0,1.0,0.0,0.0
1.7575106248547894,0.0,1.0,0.0,0.0
2.559547922699533,0.0,1.0,0.0,0.0
3.727593720314938,0.0,1.0,0.0,0.0
5.428675439323859,0.0,1.0,0.0,0.0
7.9060432109076855,0.0,1.0,0.0,0.0
11.513953993264458,0.0,1.0,0.0,0.0
16.768329368110066,0.0,1.0,0.0,0.0
24.420530945486497,0.0,1.0,0.0,0.0
35.564803062231285,0.0,1.0,0.0,0.0
51.79474679231202,0.0,1.0,0.0,0.0
75.43120063354607,0.0,1.0,0.0,0.0
109.85411419875572,0.0,1.0,0.0,0.0
159.98587196060572,0.0,1.0,0.0,0.0
232.99518105153672,0.0,1.0,0.0,0.0
339.3221771895323,0.0,1.0,0.0,0.0
494.1713361323828,0.0,1.0,0.0,0.0
719.6856730011514,0.0,1.0,0.0,0.0
1048.1131341546852,0.0,1.0,0.0,0.0
1526.4179671752302,0.0,1.0,0.0,0.0
2222.996482526191,0.0,1.0,0.0,0.0
3237.45754281764,0.0,1.0,0.0,0.0
4714.8663634573895,0.0,1.0,0.0,0.0
6866.488450042998,0.0,1.0,0.0,0.0
10000.0,0.0,1.0,0.0,0.0
