s,X,Y,R
0.0001,0.33138004148836125,0.3351770520288996,0.3334429064827392
0.00014563484775012445,0.330490306563234,0.3360195702561202,0.33349012318064586
0.00021209508879201905,0.32919640499017316,0.3372478325832955,0.3335557624265313
0.00030888435964774815,0.32731601399940274,0.33903926464039297,0.3336447213602043
0.0004498432668969444,0.32458603985653006,0.3416537525556302,0.33376020758783975
0.0006551285568595509,0.32062862563128847,0.3454728404093547,0.33389853395935676
0.0009540954763499944,0.31490508535701434,0.3510582749061011,0.33403663973688463
0.0013894954943731374,0.306656658397528,0.3592398762960262,0.33410346530644586
0.0020235896477251557,0.2948361965861831,0.3712471941628233,0.33391660925099353
0.0029470517025518097,0.2780503688256728,0.38890358158126953,0.3330460495930578
0.004291934260128779,0.25457190027596477,0.4148962258101092,0.330531873913926
0.0062505519252739694,0.22257223078961388,0.45308919804686365,0.3243385711635225
0.009102981779915217,0.18088933972733112,0.5086563027312905,0.3104543575413784
0.013257113655901081,0.1307638972863158,0.5872291490639634,0.28200695364972067
0.019306977288832496,0.07834139248781014,0.6910501015384205,0.23060850597376936
0.02811768697974228,0.03497217222084483,0.8099669331953602,0.15506089458379504
0.040949150623804234,0.010075869245427986,0.9144469750709934,0.0754771556835786
0.05963623316594643,0.0015644970165459332,0.9751503572094227,0.02328514577403132
0.08685113737513521,0.00010194377187139214,0.9958887080276531,0.004009348200475586
0.12648552168552957,1.8912731238547581e-06,0.9996831627061582,0.0003149460207179802
0.18420699693267145,5.581786081865668e-09,0.9999920911160592,7.903302154694527e-06
0.2682695795279725,4.4408919331235943e-16,0.9999999627604024,3.723959721246033e-08
0.3906939937054613,0.0,1.0,0.0
0.5689866029018293,0.0,1.0,0.0
0.8286427728546842,0.0,1.0,0.0
1.2067926406393288,0.0,1.0,0.0
1.7575106248547894,0.0,1.0,0.0
2.559547922699533,0.0,1.0,0.0
3.727593720314938,0.0,1.0,0.0
5.428675439323859,0.0,1.0,0.0
7.9060432109076855,0.0,1.0,0.0
11.513953993264458,0.0,1.0,0.0
16.768329368110066,0.0,1.0,0.0
24.420530945486497,0.0,1.0,0.0
35.564803062231285,0.0,1.0,0.0
51.79474679231202,0.0,1.0,0.0
75.43120063354607,0.0,1.0,0.0
109.85411419875572,0.0,1.0,0.0
159.98587196060572,0.0,1.0,0.0
232.99518105153672,0.0,1.0,0.0
339.3221771895323,0.0,1.0,0.0
494.1713361323828,0.0,1.0,0.0
719.6856730011514,0.0,1.0,0.0
1048.1131341546852,0.0,1.0,0.0
1526.4179671752302,0.0,1.0,0.0
2222.996482526191,0.0,1.0,0.0
3237.45754281764,0.0,1.0,0.0
4714.8663634573895,0.0,1.0,0.0
6866.488450042998,0.0,1.0,0.0
10000.0,0.0,1.0,0.0
