s,X,Y,R
0.0001,0.33296536198003873,0.33517867025914777,0.33185596776081355
0.00014563484775012445,0.33279435949068203,0.33602300318825307,0.3311826373210649
0.00021209508879201905,0.332541873952241,0.3372551158450803,0.3302030102026787
0.00030888435964774815,0.3321668711274284,0.3390547183541561,0.32877841051841555
0.0004498432668969444,0.33160529610276107,0.3416865462946439,0.3267081576025951
0.0006551285568595509,0.33075482781857485,0.34554243748930336,0.32370273469212174
0.0009540954763499944,0.3294474869039585,0.3512059756588111,0.3193465374372304
0.0013894954943731374,0.32739914963872224,0.3595532147796745,0.3130476355816033
0.0020235896477251557,0.32411498569034264,0.37191108232960274,0.30397393198005457
0.0029470517025518097,0.31871246884915744,0.390305433196449,0.2909820979543936
0.004291934260128779,0.30960169499090817,0.4178320362083225,0.27256626880076934
0.0062505519252739694,0.2939702398488112,0.459121847299806,0.24690791285138275
0.009102981779915217,0.2672250077394017,0.5205415400962315,0.2122334521643668
0.013257113655901081,0.22346586394247528,0.6086376874242548,0.16789644863326988
0.019306977288832496,0.16013164727633386,0.7232827766524295,0.11658557607123668
0.02811768697974228,0.08840204805521007,0.8451230537652246,0.06647489817956549
0.040949150623804234,0.03346011472795985,0.9378998554569112,0.02864002981512874
0.05963623316594643,0.008007400851328091,0.9835752323074415,0.008417366841230439
0.08685113737513521,0.001151397942313825,0.9973838056457769,0.0014647964119092359
0.12648552168552957,8.679733652495036e-05,0.9997916423037818,0.00012156035969320237
0.18420699693267145,2.3926438311910055e-06,0.9999941983987847,3.4089573842081815e-06
0.2682695795279725,1.3328308556053622e-08,0.9999999678722845,1.879940697549357e-08
0.3906939937054613,0.0,1.0,0.0
0.5689866029018293,0.0,1.0,0.0
0.8286427728546842,0.0,1.0,0.0
1.2067926406393288,0.0,1.0,0.0
1.7575106248547894,0.0,1.0,0.0
2.559547922699533,0.0,1.0,0.0
3.727593720314938,0.0,1.0,0.0
5.428675439323859,0.0,1.0,0.0
7.9060432109076855,0.0,1.0,0.0
11.513953993264458,0.0,1.0,0.0
16.768329368110066,0.0,1.0,0.0
24.420530945486497,0.0,1.0,0.0
35.564803062231285,0.0,1.0,0.0
51.79474679231202,0.0,1.0,0.0
75.43120063354607,0.0,1.0,0.0
109.85411419875572,0.0,1.0,0.0
159.98587196060572,0.0,1.0,0.0
232.99518105153672,0.0,1.0,0.0
339.3221771895323,0.0,1.0,0.0
494.1713361323828,0.0,1.0,0.0
719.6856730011514,0.0,1.0,0.0
1048.1131341546852,0.0,1.0,0.0
1526.4179671752302,0.0,1.0,0.0
2222.996482526191,0.0,1.0,0.0
3237.45754281764,0.0,1.0,0.0
4714.8663634573895,0.0,1.0,0.0
6866.488450042998,0.0,1.0,0.0
10000.0,0.0,1.0,0.0
