s,X,Y,R,S
0.0001,0.24889939008054504,0.25188023755496036,0.25056829879528797,0.24865207356920646
0.00014563484775012445,0.2483968056914589,0.2527406791205335,0.250825509691981,0.24803700549602667
0.00021209508879201905,0.24766451944045784,0.2539964555729893,0.2511976919439887,0.2471413330425641
0.00030888435964774815,0.2465973429964519,0.25583094167703907,0.2517345798118956,0.2458371355146134
0.0004498432668969444,0.24504172930954646,0.2585144551397435,0.25250548180303006,0.2439383337476801
0.0006551285568595509,0.2427734289308303,0.2624474383398667,0.25360454809932753,0.2411745846299755
0.0009540954763499944,0.2394648693101051,0.2682269725616273,0.2551541158453643,0.23715404228290327
0.0013894954943731374,0.23463803219429386,0.27675061569101,0.2572997467984521,0.23131160531624406
0.0020235896477251557,0.22759825713031626,0.2893800539150548,0.2601808167948528,0.22284087215977605
0.0029470517025518097,0.21734808657215335,0.30819788133753145,0.26383698369954606,0.21061704839076903
0.004291934260128779,0.2024990005936736,0.3363935755116585,0.26795810963236705,0.19314931426230086
0.0062505519252739694,0.18126516756164698,0.37876040632769553,0.27128164759570444,0.16869277851495296
0.009102981779915217,0.15181236702099096,0.4419975342781972,0.27032290975973655,0.13586718894107527
0.013257113655901081,0.11360092208338335,0.5335488648015807,0.25743178953262735,0.09541842358240869
0.019306977288832496,0.07032513162597902,0.6558442514610128,0.22064949651316515,0.05318112039984303
0.02811768697974228,0.03209333294917773,0.7939286269182578,0.1535889704900141,0.02038906964255039
0.040949150623804234,0.009330388076603777,0.9103529300610189,0.07581401574638053,0.0045026661159968595
0.05963623316594643,0.0014567225077782623,0.974680910502502,0.02337772732717112,0.0004846396625487815
0.08685113737513521,9.582552060486469e-05,0.9958685114990748,0.004013938741927972,2.1724238392569168e-05
0.12648552168552957,1.798977808932304e-06,0.9996829013188703,0.0003149929196350651,3.0678368568524026e-07
0.18420699693267145,5.366875626904109e-09,0.9999920905286974,7.903359263038593e-06,7.451640531102356e-10
0.2682695795279725,3.910926651120766e-15,0.9999999627603984,3.7239596918036164e-08,5.612903990034432e-16
0.3906939937054613,0.0,1.0,0.0,0.0
0.5689866029018293,0.0,1.0,0.0,0.0
0.8286427728546842,0.0,1.0,0.0,0.0
1.2067926406393288,0.0,1.0,0.0,0.0
1.7575106248547894,0.0,1.0,0.0,0.0
2.559547922699533,0.0,1.0,0.0,0.0
3.727593720314938,0.0,1.0,0.0,0.0
5.428675439323859,0.0,1.0,0.0,0.0
7.9060432109076855,0.0,1.0,0.0,0.0
11.513953993264458,0.0,1.0,0.0,0.0
16.768329368110066,0.0,1.0,0.0,0.0
24.420530945486497,0.0,1.0,0.0,0.0
35.564803062231285,0.0,1.0,0.0,0.0
51.79474679231202,0.0,1.0,0.0,0.0
75.43120063354607,0.0,1.0,0.0,0.0
109.85411419875572,0.0,1.0,0.0,0.0
159.98587196060572,0.0,1.0,0.0,0.0
232.99518105153672,0.0,1.0,0.0,0.0
339.3221771895323,0.0,1.0,0.0,0.0
494.1713361323828,0.0,1.0,0.0,0.0
719.6856730011514,0.0,1.0,0.0,0.0
1048.1131341546852,0.0,1.0,0.0,0.0
1526.4179671752302,0.0,1.0,0.0,0.0
2222.996482526191,0.0,1.0,0.0,0.0
3237.45754281764,0.0,1.0,0.0,0.0
4714.8663634573895,0.0,1.0,0.0,0.0
6866.488450042998,0.0,1.0,0.0,0.0
10000.0,0.0,1.0,0.0,0.0
