psi,X,Y_{cj},Y_{rj},Z,T,U,V,W
0.0,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.05,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.1,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.15,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.2,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.25,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.3,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.35,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.4,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.45,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.5,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.55,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.6,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.65,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.7,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.75,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
