s,X,Y,R,O
0.0001,0.33296536198003873,0.057602590046289426,0.33185596776081355,0.27757608021285834
0.00014563484775012445,0.33279435949068203,0.057747694039751274,0.3311826373210649,0.2782753091485018
0.00021209508879201905,0.332541873952241,0.057959440450127575,0.3302030102026787,0.2792956753949527
0.00030888435964774815,0.3321668711274284,0.07148746449063104,0.32877841051841555,0.2675672538635251
0.0004498432668969444,0.33160529610276107,0.05583402892698264,0.3267081576025951,0.28585251736766126
0.0006551285568595509,0.33075482781857485,0.05646410916524952,0.32370273469212174,0.28907832832405383
0.0009540954763499944,0.3294474869039585,0.06871406355609805,0.3193465374372304,0.28249191210271307
0.0013894954943731374,0.32739914963872224,0.07034721549319994,0.3130476355816033,0.28920599928647456
0.0020235896477251557,0.32411498569034264,0.05271478506778854,0.30397393198005457,0.3191962972618142
0.0029470517025518097,0.31871246884915744,0.05081367134636405,0.2909820979543936,0.33949176185008495
0.004291934260128779,0.30960169499090817,0.0683357974197964,0.27256626880076934,0.3494962387885261
0.0062505519252739694,0.2939702398488112,0.06993529946289778,0.24690791285138275,0.3891865478369082
0.009102981779915217,0.2672250077394017,0.05460213978443523,0.2122334521643668,0.4659394003117963
0.013257113655901081,0.22346586394247528,0.10784381927290443,0.16789644863326988,0.5007938681513504
0.019306977288832496,0.16013164727633386,0.17135564749878274,0.11658557607123668,0.5519271291536467
0.02811768697974228,0.08840204805521007,0.42937430293172196,0.06647489817956549,0.4157487508335026
0.040949150623804234,0.03346011472795985,0.7392722710038929,0.02864002981512874,0.1986275844530183
0.05963623316594643,0.008007400851328091,0.9835752323074415,0.008417366841230439,0.0
0.08685113737513521,0.001151397942313825,0.9973838056457769,0.0014647964119092359,0.0
0.12648552168552957,8.679733652495036e-05,0.9997916423037818,0.00012156035969320237,0.0
0.18420699693267145,2.3926438311910055e-06,0.9999941983987847,3.4089573842081815e-06,0.0
0.2682695795279725,1.3328308556053622e-08,0.9999999678722845,1.879940697549357e-08,0.0
0.3906939937054613,0.0,1.0,0.0,0.0
0.5689866029018293,0.0,1.0,0.0,0.0
0.8286427728546842,0.0,1.0,0.0,0.0
1.2067926406393288,0.0,1.0,0.0,0.0
1.7575106248547894,0.0,1.0,0.0,0.0
2.559547922699533,0.0,1.0,0.0,0.0
3.727593720314938,0.0,1.0,0.0,0.0
5.428675439323859,0.0,1.0,0.0,0.0
7.9060432109076855,0.0,1.0,0.0,0.0
11.513953993264458,0.0,1.0,0.0,0.0
16.768329368110066,0.0,1.0,0.0,0.0
24.420530945486497,0.0,1.0,0.0,0.0
35.564803062231285,0.0,1.0,0.0,0.0
51.79474679231202,0.0,1.0,0.0,0.0
75.43120063354607,0.0,1.0,0.0,0.0
109.85411419875572,0.0,1.0,0.0,0.0
159.98587196060572,0.0,1.0,0.0,0.0
232.99518105153672,0.0,1.0,0.0,0.0
339.3221771895323,0.0,1.0,0.0,0.0
494.1713361323828,0.0,1.0,0.0,0.0
719.6856730011514,0.0,1.0,0.0,0.0
1048.1131341546852,0.0,1.0,0.0,0.0
1526.4179671752302,0.0,1.0,0.0,0.0
2222.996482526191,0.0,1.0,0.0,0.0
3237.45754281764,0.0,1.0,0.0,0.0
4714.8663634573895,0.0,1.0,0.0,0.0
6866.488450042998,0.0,1.0,0.0,0.0
10000.0,0.0,1.0,0.0,0.0
