s,X,Y,S,O
0.0001,0.13176770136189161,0.05773781639203135,0.331837005971504,0.4786574762745731
0.00014563484775012445,0.1315614302822056,0.057944776585151625,0.33115277017070227,0.4793410229619405
0.00021209508879201905,0.1312602868438283,0.058246767664544175,0.33015474866457195,0.48033819682705553
0.00030888435964774815,0.14103086639270396,0.06930525512767632,0.3286980835705383,0.46096579490908135
0.0004498432668969444,0.14033631811072553,0.07006677203729206,0.3265700410739325,0.46302686877804977
0.0006551285568595509,0.12972257117619518,0.05456963200025522,0.3234573113710555,0.49225048545249417
0.0009540954763499944,0.13828974085245951,0.07020129763477478,0.31889689634217233,0.4726120651705934
0.0013894954943731374,0.12765910983208442,0.05254042657836877,0.3122026148679884,0.5075978487215584
0.0020235896477251557,0.1352146782252137,0.06878753155119749,0.3023573093715084,0.49364048085208045
0.0029470517025518097,0.1343113067546566,0.0677398068298663,0.2878655314365842,0.510083354978893
0.004291934260128779,0.12521867559710964,0.04899428943707246,0.2665949548093348,0.559192080156483
0.0062505519252739694,0.13263377223842512,0.0758106849519029,0.23576787148854544,0.5557876713211265
0.009102981779915217,0.12847926475126226,0.07390746267200488,0.19266162471312367,0.6049516478636092
0.013257113655901081,0.12357703196054909,0.17357758237348764,0.13728747722564522,0.5655579084403181
0.019306977288832496,0.09239031998233521,0.35914304588146495,0.07760759466167785,0.4708590394745219
0.02811768697974228,0.04594576691537862,0.6487080728157266,0.03051214138613969,0.2748340188827551
0.040949150623804234,0.013518532720324127,0.9792988648679981,0.007182602411677904,0.0
0.05963623316594643,0.0020718044307954796,0.9970691535034427,0.0008590420657615904,0.0
0.08685113737513521,0.0001316014854878356,0.9998266612620765,4.173725243569961e-05,0.0
0.12648552168552957,2.3495542568787048e-06,0.9999970729164793,5.775292636500388e-07,0.0
0.18420699693267145,6.6308160482932915e-09,0.9999999921137955,1.2553884234740996e-09,0.0
0.2682695795279725,0.0,1.0,0.0,0.0
0.3906939937054613,0.0,1.0,0.0,0.0
0.5689866029018293,0.0,1.0,0.0,0.0
0.8286427728546842,0.0,1.0,0.0,0.0
1.2067926406393288,0.0,1.0,0.0,0.0
1.7575106248547894,0.0,1.0,0.0,0.0
2.559547922699533,0.0,1.0,0.0,0.0
3.727593720314938,0.0,1.0,0.0,0.0
5.428675439323859,0.0,1.0,0.0,0.0
7.9060432109076855,0.0,1.0,0.0,0.0
11.513953993264458,0.0,1.0,0.0,0.0
16.768329368110066,0.0,1.0,0.0,0.0
24.420530945486497,0.0,1.0,0.0,0.0
35.564803062231285,0.0,1.0,0.0,0.0
51.79474679231202,0.0,1.0,0.0,0.0
75.43120063354607,0.0,1.0,0.0,0.0
109.85411419875572,0.0,1.0,0.0,0.0
159.98587196060572,0.0,1.0,0.0,0.0
232.99518105153672,0.0,1.0,0.0,0.0
339.3221771895323,0.0,1.0,0.0,0.0
494.1713361323828,0.0,1.0,0.0,0.0
719.6856730011514,0.0,1.0,0.0,0.0
1048.1131341546852,0.0,1.0,0.0,0.0
1526.4179671752302,0.0,1.0,0.0,0.0
2222.996482526191,0.0,1.0,0.0,0.0
3237.45754281764,0.0,1.0,0.0,0.0
4714.8663634573895,0.0,1.0,0.0,0.0
6866.488450042998,0.0,1.0,0.0,0.0
10000.0,0.0,1.0,0.0,0.0
