N,X,Y_{cj},Y_{rj},T,U,V,W
2,1.5143458334808353e-15,0.5000000000000161,0.4999999999999821,0.0,9.930136612989087e-17,0.0,9.930136612989087e-17
3,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
4,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
5,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
6,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
7,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
8,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
9,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
10,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
11,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
12,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
13,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
14,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
15,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
16,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
17,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
18,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
19,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
20,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
21,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
22,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
23,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
24,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
25,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
26,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
27,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
28,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
29,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
