alpha,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,V
0.0,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.01,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.02,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.03,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.04,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.05,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.06,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.07,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.08,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.09,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.1,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.11,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.12,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.13,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.14,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.15,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.16,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.17,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.18,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.19,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.2,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.21,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.22,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.23,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.24,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.25,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
0.26,0.07595052632049178,0.10588132809370604,0.21280511001212027,0.2720798350924064,0.24244247255226364,0.03038050834711987,0.06046021958189211
