alpha,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
0.0,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.01,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.02,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.03,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.04,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.05,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.06,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.07,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.08,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.09,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.1,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.11,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.12,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.13,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.14,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.15,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.16,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.17,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
0.18,0.05006631394947639,0.06395778387928903,0.19343889824900848,0.3175032110883992,0.17031403644580242,0.014216373412557284,0.0639577838792898,0.02833859865681907,0.09820700043935815
