alpha,X,Y_{cj},Y_{rj},Z,T,U,V,W
0.0,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.01,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.02,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.03,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.04,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.05,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.06,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.07,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.08,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.09,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.1,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.11,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.12,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.13,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.14,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
