alpha,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
0.0,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.01,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.02,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.03,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.04,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.05,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.06,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.07,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.08,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.09,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.1,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.11,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.12,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.13,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.14,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.15,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.16,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.17,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.18,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.19,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.2,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.21,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.22,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.23,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.24,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.25,3.080863612123969e-16,8.78441111969706e-16,0.49999999999997446,0.5000000000000231,2.653295958638608e-19,2.1065734099992952e-18,8.831920329817108e-22,1.1796811095996052e-15
0.26,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.27,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.28,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.29,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.3,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.31,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.32,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.33,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.34,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.35,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.36,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.37,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.38,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.39,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.4,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.41,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.42,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.43,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.44,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.45,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.46,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.47,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.48,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.49,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.5,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.51,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.52,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.53,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.54,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.55,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.56,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.57,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.58,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.59,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.6,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.61,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.62,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.63,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.64,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.65,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.66,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.67,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.68,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.69,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.7,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.71,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.72,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.73,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.74,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.75,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.76,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.77,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.78,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.79,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.8,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
