alpha,X,Y_{cj},Y_{rj},U,W
0.0,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.01,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.02,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.03,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.04,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.05,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.06,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.07,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.08,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.09,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.1,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.11,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.12,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.13,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.14,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.15,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
0.16,4.3716077182713433e-16,0.5000000000000193,0.4999999999999794,2.5715339519243198e-17,7.97175525096539e-16
