G,X,Y_{cj},Y_{rj},Z,U,W
0.0,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.05,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.1,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.15,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.2,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.25,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.3,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.35,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.4,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.45,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.5,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.55,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.6,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.65,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.7,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.75,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.8,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.85,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.9,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
0.95,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
