s,XY,YX
0.0001,19799.970533765427,19799.970533765427
0.00014563484775012445,19799.937503737183,19799.937503737183
0.00021209508879201905,19799.867449276648,19799.86744927665
0.00030888435964774815,19799.718869937748,19799.718869937748
0.0004498432668969444,19799.403752743285,19799.40375274329
0.0006551285568595509,19798.73545991341,19798.735459913412
0.0009540954763499944,19797.31829218814,19797.318292188145
0.0013894954943731374,19794.313666598235,19794.313666598235
0.0020235896477251557,19787.94602566653,19787.94602566653
0.0029470517025518097,19774.463118494947,19774.46311849495
0.004291934260128779,19745.967518606118,19745.967518606118
0.0062505519252739694,19685.979864552413,19685.979864552417
0.009102981779915217,19560.73496821682,19560.734968216817
0.013257113655901081,19303.675761482056,19303.675761482056
0.019306977288832496,18793.965909940365,18793.965909940373
0.02811768697974228,17847.983810603062,17847.983810603077
0.040949150623804234,16283.5399956998,16283.539995699795
0.05963623316594643,14102.973678374578,14102.973678374574
0.08685113737513521,11611.937117815078,11611.937117815076
0.12648552168552957,9209.604720607625,9209.604720607624
0.18420699693267145,7126.410525306051,7126.4105253060525
0.2682695795279725,5423.04317797441,5423.043177974411
0.3906939937054613,4080.780102214254,4080.7801022142544
0.5689866029018293,1921.7834109153198,3053.8104535059074
0.8286427728546842,1170.851309544888,2291.9990115021437
1.2067926406393288,774.8186106973785,1750.1476089248176
1.7575106248547894,545.9341867103327,1390.1157461089254
2.559547922699533,409.94623636625107,1177.7928746646407
3.727593720314938,335.0722121039961,1076.3596985095414
5.428675439323859,294.18319347127743,1042.455618919432
7.9060432109076855,251.33600177980907,0.0
11.513953993264458,212.4387193920862,0.0
16.768329368110066,186.39477887564254,0.0
24.420530945486497,152.030509175768,0.0
35.564803062231285,152.03050917336634,0.0
51.79474679231202,101.010101010101,0.0
75.43120063354607,101.010101010101,0.0
109.85411419875572,101.010101010101,0.0
159.98587196060572,101.010101010101,0.0
232.99518105153672,101.010101010101,0.0
339.3221771895323,101.010101010101,0.0
494.1713361323828,101.010101010101,0.0
719.6856730011514,101.010101010101,0.0
1048.1131341546852,101.010101010101,0.0
1526.4179671752302,101.010101010101,0.0
2222.996482526191,101.010101010101,0.0
3237.45754281764,101.010101010101,0.0
4714.8663634573895,101.010101010101,0.0
6866.488450042998,101.010101010101,0.0
10000.0,101.010101010101,0.0
