alpha,X,Y_{cj},Y_{rj},U,W
0.0,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.01,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.02,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.03,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.04,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.05,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.06,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.07,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.08,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.09,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.1,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.11,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.12,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.13,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.14,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.15,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.16,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.17,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.18,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.19,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.2,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.21,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.22,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.23,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.24,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.25,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.26,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.27,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
