beta,X,Y_{cj},Y_{rj},Z,T,U,V,W
0.0,0.07182705718270586,0.30765444253014984,0.16886810512210484,0.190609019060902,0.023826127382612618,0.1415620641562065,0.02382612738261271,0.07182705718270568
0.05,0.07182705718270586,0.30765444253014984,0.16886810512210484,0.190609019060902,0.023826127382612618,0.1415620641562065,0.02382612738261271,0.07182705718270568
0.1,0.07182705718270586,0.30765444253014984,0.16886810512210484,0.190609019060902,0.023826127382612618,0.1415620641562065,0.02382612738261271,0.07182705718270568
0.15,0.07182705718270586,0.30765444253014984,0.16886810512210484,0.190609019060902,0.023826127382612618,0.1415620641562065,0.02382612738261271,0.07182705718270568
0.2,0.07182705718270586,0.30765444253014984,0.16886810512210484,0.190609019060902,0.023826127382612618,0.1415620641562065,0.02382612738261271,0.07182705718270568
0.25,0.07182705718270586,0.30765444253014984,0.16886810512210484,0.190609019060902,0.023826127382612618,0.1415620641562065,0.02382612738261271,0.07182705718270568
0.3,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.35,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.4,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.45,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.5,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
0.55,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
