beta,X,Y_{cj},Y_{rj},Z,U,W
0.0,0.07182705718270532,0.2838283151475382,0.14504197773949123,0.28591352859135255,0.14156206415620676,0.07182705718270598
0.05,0.07182705718270532,0.2838283151475382,0.14504197773949123,0.28591352859135255,0.14156206415620676,0.07182705718270598
0.1,0.07182705718270532,0.2838283151475382,0.14504197773949123,0.28591352859135255,0.14156206415620676,0.07182705718270598
0.15,0.07182705718270532,0.2838283151475382,0.14504197773949123,0.28591352859135255,0.14156206415620676,0.07182705718270598
0.2,0.07182705718270532,0.2838283151475382,0.14504197773949123,0.28591352859135255,0.14156206415620676,0.07182705718270598
0.25,0.07182705718270532,0.2838283151475382,0.14504197773949123,0.28591352859135255,0.14156206415620676,0.07182705718270598
0.3,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.35,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.4,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.45,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.5,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.55,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.6,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.65,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.7,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.75,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.8,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.85,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.9,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.95,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.0,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.05,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.1,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.15,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.2,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.25,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.3,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.35,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.4,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.45,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.5,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.55,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.6,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.65,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.7,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.75,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.8,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.85,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.9,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.95,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.0,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.05,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.1,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.15,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.2,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.25,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.3,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.35,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.4,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
