s,X,Y,Z,W
0.0001,0.2498545439666744,0.2507801814366453,0.24950887120495213,0.24985640339172827
0.00012045035402587823,0.2498243790904217,0.2509394642934086,0.24940907937427392,0.2498270772418957
0.000145082877849594,0.24978785758823424,0.2511311985786526,0.24928917091536237,0.2497917729177507
0.0001747528400007683,0.24974359553063288,0.2513619639351777,0.24914516318356722,0.24974927735062225
0.00021049041445120198,0.2496898886312646,0.25163965879011746,0.24897231825534255,0.24969813432327542
0.00025353644939701115,0.24962463029439375,0.25197375710398195,0.2487650151452712,0.2496365974563531
0.0003053855508833416,0.24954520579374048,0.2523756111361942,0.24851660789833158,0.24956257517173375
0.0003678379771828634,0.24944835472800123,0.25285880622714707,0.2482192720559309,0.24947356698892084
0.0004430621457583882,0.24932999113275486,0.2534395729265573,0.24786384489969768,0.24936659104099024
0.0005336699231206312,0.249184966916557,0.25413725987259594,0.24743966941549608,0.24923810379535094
0.0006428073117284319,0.2490067593784816,0.2549748666939978,0.24693445884631957,0.24908391508120103
0.000774263682681127,0.2487870572220034,0.25597962827479576,0.24633420906011222,0.2488991054430887
0.0009326033468832199,0.248515211586706,0.2571836273427013,0.24562320114235853,0.24867795992823427
0.0011233240329780276,0.24817750942336908,0.25862438713079505,0.2447841583831661,0.24841394506266976
0.0013530477745798076,0.247756217119252,0.2603453526397073,0.24379865211882246,0.24809977812221815
0.0016297508346206436,0.24722833549708212,0.262396096194551,0.24264789130550818,0.2477276770028587
0.0019630406500402726,0.24656400951615529,0.2648319622686037,0.24131408102253515,0.2472899471927058
0.002364489412645407,0.24572456004165816,0.2677126703110743,0.23978258989661838,0.24678017975064923
0.002848035868435802,0.244660175035276,0.2710990839011017,0.2380452079692188,0.2461955330944034
0.003430469286314919,0.24330745529270117,0.27504688393268134,0.2361047610008956,0.245540899773722
0.0041320124001153384,0.24158732038122496,0.27959522006384707,0.23398118101207452,0.24483627854285342
0.004977023564332114,0.23940432561147912,0.2847476031849809,0.23171863908926763,0.24412943211427235
0.005994842503189409,0.23664927267427158,0.29044162149304986,0.22939223978631412,0.24351686604636444
0.007220809018385471,0.23320798779996713,0.2965043398467036,0.22711071808661978,0.2431769542667094
0.008697490026177835,0.22897965007918908,0.30259329518118855,0.2250084990539183,0.24341855568570406
0.010476157527896652,0.2239064293555656,0.30813178919376827,0.22321746891029567,0.24474431254037052
0.012618568830660211,0.21800972117733422,0.31226419902789276,0.22180963169593915,0.24791644809883387
0.015199110829529346,0.21141533160723833,0.3138785544121622,0.22071345837490536,0.25399265560569423
0.018307382802953697,0.20433642877865568,0.3117506830522862,0.21963397200441281,0.2642789161646453
0.022051307399030457,0.1969883763450395,0.3048245412381961,0.21803697288484988,0.28015010953191466
0.026560877829466867,0.18945425353640527,0.29254863705587575,0.21525220594649988,0.3027449034612191
0.03199267137797385,0.1815851787499213,0.27510593452861487,0.2106785080317274,0.3326303786897365
0.03853528593710531,0.1730325572527934,0.25340806016228024,0.20398333429895746,0.369576048285969
0.04641588833612782,0.16342346905731556,0.22886832990360195,0.19518408703364756,0.41252411400543504
0.055908101825122285,0.15257418823662555,0.20308321644934646,0.18459887476632983,0.45974372054769813
0.06734150657750829,0.14060847391063028,0.17755314501554148,0.17274851876269953,0.5090898623111287
0.08111308307896872,0.12792915642687383,0.15350979535727963,0.16028513440749528,0.5582759138083513
0.09770099572992257,0.11509097392932945,0.13184442276933428,0.14794116570264929,0.6051234375986869
0.1176811952434999,0.10265116124416514,0.11307815624682789,0.13643077208711568,0.6478399104218913
0.14174741629268062,0.09104609842590504,0.09733540275521486,0.12627352762126182,0.6853449711976183
0.1707352647470692,0.0805220614828665,0.0843642455940561,0.11762965690561192,0.7174840360174655
0.20565123083486536,0.0711394171782015,0.07366432593338243,0.11028778599074868,0.7449084708976673
0.24770763559917114,0.06283816798827148,0.06468709374783084,0.10383312721901707,0.7686416110448806
0.298364724028334,0.055517322268045656,0.05699689034251475,0.09787047034836224,0.7896153170410773
0.3593813663804629,0.049084210623882844,0.050321337881056305,0.09215666980432288,0.808437781690738
0.43287612810830617,0.04346542510352337,0.044512194212854114,0.086603873601914,0.8254185070817086
0.521400828799969,0.03859830831899032,0.039482539221929513,0.08121445985427138,0.8407046926048087
0.6280291441834259,0.03442235469399945,0.035164905524177184,0.07602032625238568,0.8543924135294377
0.7564633275546291,0.03087672257607891,0.03149557051986878,0.07105310564819287,0.8665746012558594
0.9111627561154896,0.027901425540868652,0.028412348274328696,0.06633599286150468,0.877350233323298
1.0974987654930568,0.025439120460341746,0.02585588110239381,0.061883438692679066,0.8868215597445854
1.3219411484660315,0.02343622966327868,0.02377078976411545,0.05770251574241069,0.8950904648301953
1.592282793341094,0.021843140102518952,0.0221059605668697,0.05379445225164105,0.9022564470789703
1.9179102616724888,0.02061347435262745,0.020813910346615092,0.050156081489733856,0.9084165338110237
2.310129700083163,0.01970252786555069,0.01984930230863833,0.046781140135644377,0.9136670296901666
2.782559402207126,0.01906518277433478,0.019166873626330964,0.043661362212313495,0.9181065813870208
3.351602650938848,0.018654017142865926,0.018719412428197125,0.040787300194719656,0.9218392702342173
4.037017258596558,0.018418793602900402,0.018456899657050906,0.03814879813660843,0.9249755086034402
4.862601580065354,0.018308535528966854,0.018328077749639092,0.035735092530478366,0.9276282941909156
5.857020818056673,0.018276322959185937,0.018284847157698375,0.033534658350248915,0.9299041715328668
7.054802310718645,0.018284890489016745,0.01828793124726139,0.03153508281064653,0.9318920954530753
8.497534359086455,0.01830981577621033,0.018310663791557463,0.029723257415762018,0.9336562630164702
10.235310218990268,0.018338453107522447,0.018338628583027435,0.02808593630781631,0.9352369820016337
12.328467394420684,0.018365893475008055,0.01836591880433935,0.02661041657852407,0.9366577711421286
14.849682622544666,0.018390851965632893,0.018390854334907725,0.025285051905958516,0.9379332417935008
17.886495290574352,0.018413216947007278,0.01841321707845227,0.024099510812119022,0.9390740551624215
21.544346900318867,0.018433115590822686,0.018433115594711127,0.023044873893599917,0.9400888949208662
25.950242113997373,0.01845068505766184,0.01845068505771513,0.02211369194605934,0.9409849379385637
31.257158496882415,0.018466036376190174,0.018466036376190174,0.02130007206204732,0.9417678551855724
37.649358067924716,0.018479249149708006,0.018479249149707676,0.0205997950654574,0.9424417066351268
45.34878508128591,0.018490370949468208,0.01849037094946832,0.020010339678205265,0.9430089184228582
54.62277217684348,0.018499426428808502,0.01849942642880756,0.019530399273053806,0.9434707478693302
65.79332246575683,0.018506448303144702,0.018506448303144647,0.019158239933346696,0.943828863460364
79.24828983539186,0.018511532638972625,0.018511532638973018,0.01888877013450501,0.9440881645875493
95.45484566618347,0.018514893205383683,0.018514893205384075,0.01871066011471204,0.9442595534745202
114.9756995397738,0.018516871560630182,0.01851687156062996,0.018605807286525087,0.9443604495922148
138.48863713938746,0.018517881606165524,0.0185178816061658,0.018552274873290083,0.9444119619143786
166.81005372000593,0.018518315693998904,0.018518315693999015,0.018529268218172325,0.9444341003938297
200.923300256505,0.018518467405728246,0.018518467405728246,0.01852122749643236,0.9444418376921111
242.01282647943833,0.018518508801741464,0.01851850880174163,0.018519033507722885,0.9444439488887941
291.5053062825182,0.01851851720309771,0.018518517203098765,0.018518588235943018,0.9444443773578606
351.11917342151344,0.018518518400215563,0.01851851840021634,0.018518524788727876,0.9444444384108402
