s,X,Y,Z,W
0.0001,0.24985386010780422,0.25131831530324883,0.24951011290810451,0.24931771168084246
0.00012045035402587823,0.249823387673733,0.2515876006273966,0.24941088085959395,0.24917813083927653
0.000145082877849594,0.24978642052212024,0.25191180821929965,0.24929178452610515,0.24900998673247488
0.0001747528400007683,0.24974151289742821,0.25230209918422497,0.24914895499567002,0.24880743292267685
0.00021049041445120198,0.24968687114393437,0.252771882127566,0.24897781931285923,0.2485634274156404
0.00025353644939701115,0.24962025959148978,0.2533372546873134,0.248772995748442,0.24826948997275497
0.0003053855508833416,0.2495388772911292,0.25401752548804685,0.24852818528423923,0.24791541193658467
0.0003678379771828634,0.24943919552524474,0.2548358272452053,0.24823606641330997,0.24748891081624
0.0004430621457583882,0.2493167423834141,0.25581983043817846,0.2478882052685172,0.24697522190989027
0.0005336699231206312,0.24916581583098893,0.25700256315039766,0.24747500046951657,0.24635662054909685
0.0006428073117284319,0.24897910032188064,0.25842333435826254,0.24698569296723974,0.24561187235261706
0.000774263682681127,0.2487471539155565,0.2601287417904339,0.24640848694887352,0.2447156173451362
0.0009326033468832199,0.24845772313035283,0.26217371590243,0.24573085025413913,0.243637710713078
0.0011233240329780276,0.24809483220098777,0.2646224993909202,0.2449400935928994,0.2423425748151926
0.0013530477745798076,0.2476375843790682,0.2675493724226476,0.2440243685276017,0.24078867467068263
0.0016297508346206436,0.24705861096038254,0.2710387849193637,0.24297427409505212,0.23892833002520167
0.0019630406500402726,0.2463221203863558,0.27518431635021134,0.24178531515759194,0.23670824810584098
0.002364489412645407,0.2453815571354151,0.280085508822318,0.24046149408206074,0.23407143996020616
0.002848035868435802,0.24417701711524192,0.285841070635581,0.23902029877318787,0.23096161347598917
0.003430469286314919,0.24263284429286133,0.2925362230552296,0.23749918843308082,0.2273317442188282
0.0041320124001153384,0.2406563321815507,0.3002211928001513,0.2359632219280489,0.22315925309024912
0.004977023564332114,0.23813923368111753,0.3088774897979985,0.2345125030154618,0.21847077350542224
0.005994842503189409,0.23496476355914372,0.31836972760962134,0.2332864315589924,0.2133790772722425
0.007220809018385471,0.2310234799198944,0.3283852543293393,0.23245947741288484,0.20813178833788154
0.008697490026177835,0.22624062485193686,0.3383739566167282,0.23222143954243973,0.20316397898889532
0.010476157527896652,0.22061321360940003,0.3475160699420641,0.23273669906502834,0.1991340173835076
0.012618568830660211,0.21424609469465847,0.35475875433191656,0.23408554961618544,0.19690960135723942
0.015199110829529346,0.20736531913388648,0.35895409304179066,0.2362064434365874,0.1974741443877355
0.018307382802953697,0.20028434527942482,0.3590857519685105,0.2388706014855501,0.2017593012665146
0.022051307399030457,0.1933148128524609,0.3545058358711529,0.2417115157351557,0.21046783554123044
0.026560877829466867,0.18664621545560117,0.3450763811323366,0.24429715363743268,0.22398024977462958
