s,X,Y,Z,W
0.0001,0.3321964556045456,0.33656273346510224,0,0.3312408109303521
0.00012045035402587823,0.3319630895936257,0.3372245587993544,0,0.33081235160701983
0.000145082877849594,0.3316816084317912,0.338022353133954,0,0.33029603843425487
0.0001747528400007683,0.33134199725482705,0.3389841972661751,0,0.32967380547899783
0.00021049041445120198,0.3309321150212971,0.3401440336342541,0,0.3289238513444487
0.00025353644939701115,0.33043722515864415,0.3415429150726489,0,0.32801985976870696
0.0003053855508833416,0.3298394151786291,0.3432305287450801,0,0.3269300560762907
0.0003678379771828634,0.32911687619795754,0.3452670583596307,0,0.3256160654424118
0.0004430621457583882,0.32824300484008023,0.3477254621433494,0,0.3240315330165705
0.0005336699231206312,0.3271852789709624,0.35069426078143767,0,0.32212046024759994
0.0006428073117284319,0.32590384449245074,0.3542809478596522,0,0.31981520764789717
0.000774263682681127,0.32434973240225734,0.3586161530709184,0,0.3170341145268243
0.0009326033468832199,0.32246260330543375,0.36385870042433865,0,0.31367869627022776
0.0011233240329780276,0.3201678913921451,0.3702016991604891,0,0.3096304094473657
0.0013530477745798076,0.31737319502325945,0.377879762815923,0,0.30474704216081766
0.0016297508346206436,0.31396374561365153,0.38717733183480646,0,0.29885892255154206
0.0019630406500402726,0.3097968013003999,0.39843780461318895,0,0.29176539408641117
0.002364489412645407,0.3046949007022536,0.412072634745441,0,0.28323246455230555
0.002848035868435802,0.2984381612111773,0.42856852262741274,0,0.27299331616141004
0.003430469286314919,0.29075637482542654,0.44848901331656427,0,0.2607546118580092
0.0041320124001153384,0.2813228105779824,0.4724638426803553,0,0.2462133467416622
0.004977023564332114,0.26975376307003845,0.5011550300202433,0,0.22909120690971826
0.005994842503189409,0.2556213775260231,0.5351835524758609,0,0.20919506999811596
0.007220809018385471,0.23849202658249055,0.5749971614788626,0,0.18651081193864694
0.008697490026177835,0.21800668176741775,0.6206654243700755,0,0.16132789386250676
0.010476157527896652,0.19401776550060595,0.6716142064534169,0,0.13436802804597714
0.012618568830660211,0.16677875596942554,0.7263684175945411,0,0.10685282643603339
0.015199110829529346,0.13713954977228054,0.782445055492895,0,0.0804153947348244
0.018307382802953697,0.10664283735364193,0.8365655491834824,0,0.05679161346287573
0.022051307399030457,0.0773917396248683,0.8852516267457343,0,0.03735663362939745
0.026560877829466867,0.05162724441393857,0.9256413755147227,0,0.022731380071338875
0.03199267137797385,0.031116422337018,0.956188684064549,0,0.012694893598432854
0.03853528593710531,0.016612848415707246,0.9769573889061014,0,0.0064297626781913645
0.04641588833612782,0.007679318227877531,0.9894224671814882,0,0.002898214590634337
0.055908101825122285,0.0029920792529473587,0.9958764453092441,0,0.0011314754378085106
0.06734150657750829,0.0009515523185827801,0.998679046244953,0,0.0003694014364641991
0.08111308307896872,0.00023753223972753783,0.99966579305255,0,9.667470772246545e-05
0.09770099572992257,4.437196159080621e-05,0.9999363336691989,0,1.9294369210418086e-05
0.1176811952434999,5.852649035006667e-06,0.9999913796988941,0,2.7676520709886266e-06
0.14174741629268062,5.080167655491652e-07,0.9999992264006337,0,2.6558260084435334e-07
0.1707352647470692,2.6653401602939905e-08,0.9999999577342483,0,1.561235005890419e-08
0.20565123083486536,7.628173354791737e-10,0.999999998732749,0,5.044335925847412e-10
0.24770763559917114,1.0523689607292067e-11,0.999999999981634,0,7.842376068769197e-12
0.298364724028334,5.890870856201348e-14,0.9999999999998921,0,4.907391567538657e-14
0.3593813663804629,4.6287850164651515e-15,0.9999999999999918,0,3.616238294113399e-15
0.43287612810830617,1.5127548480092804e-15,0.9999999999999958,0,2.6821541548585593e-15
0.521400828799969,1.1125209561636994e-15,0.9999999999999976,0,1.4154842522618495e-15
0.6280291441834259,8.72752029468944e-16,0.9999999999999969,0,2.1806403690850466e-15
0.7564633275546291,4.754368295389806e-16,0.9999999999999989,0,7.39155695923884e-16
0.9111627561154896,7.915697102312385e-17,0.9999999999999998,0,1.818136678187376e-16
