s,X,Y,Z,V
0.0001,0.25028829059573987,0.25033954236351413,0.24985282250073976,0.24951934454000624
0.00012045035402587823,0.2503469794318861,0.2504090204830008,0.2498229583152139,0.24942104176989913
0.000145082877849594,0.2504175494367424,0.2504927249300357,0.24978709275334787,0.24930263287987406
0.0001747528400007683,0.25050237565246525,0.25059357272486676,0.24974404657847796,0.24916000504419006
0.00021049041445120198,0.25060429402629397,0.2507150806361531,0.24969242128684987,0.24898820405070313
0.00025353644939701115,0.2507266843859363,0.25086148908255873,0.24963056429966018,0.2487812622318448
0.0003053855508833416,0.25087356522632387,0.2510379117881587,0.24955653168029734,0.24853199130522025
0.0003678379771828634,0.2510497003485713,0.2512505165319392,0.24946805005191391,0.24823173306757557
0.0004430621457583882,0.2512607162978889,0.2515067433681077,0.24936248077987644,0.24787005955412705
0.0005336699231206312,0.25151322771436674,0.25181556784928727,0.24923679167176377,0.24743441276458233
0.0006428073117284319,0.25181496474497056,0.2521878179829352,0.2490875448633317,0.24690967240876255
0.000774263682681127,0.25217489199215104,0.2526365547170732,0.24891091484650488,0.24627763844427092
0.0009326033468832199,0.25260330124505925,0.253177526303215,0.24870275874529224,0.24551641370643346
0.0011233240329780276,0.2531118492489916,0.2538297061587011,0.2484587734477531,0.24459967114455416
0.0013530477745798076,0.2537134953456693,0.2546159203590122,0.24817479329727313,0.2434957909980454
0.0016297508346206436,0.25442226977577703,0.25556356180687045,0.24784731103378654,0.24216685738356591
0.0019630406500402726,0.25525276922071083,0.2567053681719493,0.24747434826686113,0.2405675143404787
0.002364489412645407,0.2562192295245777,0.25808020021102934,0.24705686628489285,0.23864370397950008
0.002848035868435802,0.25733396650098245,0.25973367877032866,0.24660100095147272,0.2363313537772162
0.003430469286314919,0.25860491136170555,0.2617183927695939,0.24612153298252035,0.23355516288618017
0.0041320124001153384,0.2600319220713431,0.26409312809261853,0.2456471642347192,0.23022778560131918
0.004977023564332114,0.26160158759288676,0.2669201175753304,0.24522833054750445,0.2262499642842784
0.005994842503189409,0.2632804896011734,0.2702585955701118,0.24494833954189363,0.22151257528682125
0.007220809018385471,0.26500757931213564,0.2741519397063834,0.2449383226525364,0.21590215832894466
0.008697490026177835,0.26668777677858996,0.2786046583146084,0.24539531361523023,0.2093122512915714
0.010476157527896652,0.2681912385436817,0.2835454554298335,0.2465998802096761,0.20166342581680868
0.012618568830660211,0.2693651207998114,0.2887760583078625,0.24892439796106647,0.1929344229312595
0.015199110829529346,0.27006387850067143,0.2939163620748008,0.25281616427640974,0.18320359514811804
0.018307382802953697,0.2701944032237351,0.29837660237298574,0.2587365840412459,0.17269241036203323
0.022051307399030457,0.2697514153798439,0.30140669773540796,0.26704955666867447,0.16179233021607384
0.026560877829466867,0.26880251644287684,0.3022618748829097,0.27788555046817304,0.15105005820604048
0.03199267137797385,0.2674066949057606,0.30045496024887,0.2910447609508444,0.14109358389452498
0.03853528593710531,0.26552084242283225,0.29597173429852247,0.30600354220366244,0.13250388107498282
0.04641588833612782,0.2629896647894839,0.2893043587285553,0.3220404960524673,0.12566548042949338
0.055908101825122285,0.25964574788793005,0.28126108971768793,0.3384395430433403,0.12065361935104169
0.06734150657750829,0.2554316799697994,0.2726606530043308,0.3546888063050154,0.11721886072085434
0.08111308307896872,0.2504386351260102,0.26408874677083033,0.3705843289838669,0.11488828911929252
0.09770099572992257,0.24484939046337312,0.2558285146517197,0.38618939954553033,0.11313269533937685
0.1176811952434999,0.23885579920820585,0.2479411253229291,0.40168943537158336,0.1115136400972818
0.14174741629268062,0.2326141680661452,0.2403894129169362,0.41724350145102235,0.10975291756589622
0.1707352647470692,0.22624615047173793,0.23312172170538265,0.4329071590279057,0.10772496879497372
0.20565123083486536,0.21985737724650567,0.22610505889281257,0.448626957611811,0.10541060624887072
0.24770763559917114,0.2135509426893499,0.2193342929454437,0.4642648740318958,0.10284989033331055
0.298364724028334,0.2074319187078122,0.21283569874814182,0.4796223381770483,0.10011004436699761
0.3593813663804629,0.20160786923120128,0.20666676882964533,0.4944583621882091,0.0972669997509444
0.43287612810830617,0.19618897734566035,0.2009111005933213,0.5085043096431667,0.09439561241785169
0.521400828799969,0.19128864852280036,0.19567063030617451,0.5214748677750014,0.0915658533960236
0.6280291441834259,0.1870241902248542,0.19105863235300016,0.5330742859308082,0.08884289149133759
0.7564633275546291,0.18351678199758495,0.18719492520411601,0.5429997535540897,0.08628853924420932
0.9111627561154896,0.18089003514131893,0.18420244053534707,0.5509451795698419,0.08396234475349222
1.0974987654930568,0.17926654939243758,0.18220341359598094,0.5566080337233013,0.08192200328828024
1.3219411484660315,0.1787616378363846,0.181313520645173,0.5597014829289783,0.0802233585894641
1.592282793341094,0.17947302324948997,0.18163247390939424,0.5599743489717478,0.07892015386936814
1.9179102616724888,0.1814653701588741,0.18322985639830944,0.5572413086753663,0.07806346476745024
2.310129700083163,0.18474968480373238,0.1861259819105159,0.5514237850124971,0.07770054827325458
2.782559402207126,0.18926061223383006,0.19027010021698854,0.5425967168831848,0.07787257066599658
3.351602650938848,0.1948395400221823,0.19552258792634555,0.5310275614436956,0.07861031060777651
4.037017258596558,0.2012359128944162,0.2016522434510883,0.5171850662897013,0.07992677736479417
4.862601580065354,0.20813762299101599,0.20835978556388335,0.5016959534522674,0.08180663799283329
5.857020818056673,0.21522827763033672,0.21532866152965516,0.4852475561467613,0.08419550469324684
7.054802310718645,0.22224884454035565,0.2222858042917279,0.4684686966480142,0.0869966545199022
8.497534359086455,0.22903201666855724,0.22904262423925043,0.4518418493500279,0.09008350974216445
