s,X,Y,Z,V,W
0.0001,0.24891979494541147,0.2520112705235243,0,0.2506858949867555,0.24838303954430863
0.00014563484775012445,0.24842630235855165,0.2529306440506457,0,0.25099741196202446,0.24764564162877822
0.00021209508879201905,0.24770701172601065,0.25427125045369015,0,0.25144940631468565,0.24657233150561364
0.00030888435964774815,0.24665824644671686,0.2562271148727403,0,0.25210407239803456,0.24501056628250814
0.0004498432668969444,0.24512837261426312,0.25908264066918846,0,0.25304979061537547,0.24273919610117284
0.0006551285568595509,0.24289533182019693,0.26325553599092016,0,0.25441050991982295,0.23943862226906
0.0009540954763499944,0.23963357121395293,0.2693604286682889,0,0.25635632942846315,0.23464967068929507
0.0013894954943731374,0.23486579739658542,0.2783021943858996,0,0.2591120014136663,0.22772000680384874
0.0020235896477251557,0.22789462573364636,0.2914082965541425,0,0.2629537329474734,0.2177433447647378
0.0029470517025518097,0.21771367822837695,0.3105990868922879,0,0.26816957185833296,0.20351766302100224
0.004291934260128779,0.20292054164581702,0.33854776659771274,0,0.27492599146325736,0.18360570029321294
0.0062505519252739694,0.18173313927487972,0.3786368634367088,0,0.2829256469412693,0.15670435034714209
0.009102981779915217,0.152415802130221,0.4342213219487799,0,0.2906912697491441,0.12267160617185506
0.013257113655901081,0.11470755605751765,0.5065809192557965,0,0.29444743536221957,0.0842640893244662
0.019306977288832496,0.07242718624081948,0.5923759557537575,0,0.2872123915118951,0.047984466493528
0.02811768697974228,0.03471637605816716,0.684485097064182,0,0.2597215415868761,0.021076985290774577
0.040949150623804234,0.010953554220124019,0.7770593508937712,0,0.20561498051809401,0.006372114368010764
0.05963623316594643,0.0018611104158433164,0.8654032964537323,0,0.13164738882800198,0.0010882043024224336
0.08685113737513521,0.0001280786376298692,0.9380931225639569,0,0.061700847643327145,7.795115508612118e-05
0.12648552168552957,2.384629999300857e-06,0.9812758745790501,0,0.018720180774746045,1.5600162044665367e-06
0.18420699693267145,6.793928362827453e-09,0.9968765026909917,0,0.0031234855624655373,4.952614310716077e-09
0.2682695795279725,1.3003992890924984e-12,0.9997744686094869,0,0.00022553138816447773,1.047952565947443e-12
0.3906939937054613,3.0021672805330906e-15,0.9999951119063035,0,4.888093606189108e-06,8.716404778536523e-14
0.5689866029018293,2.701890135849495e-15,0.9999999815251296,0,1.847484848089356e-08,1.9401524348991558e-14
0.8286427728546842,2.4411284223381606e-15,0.9999999987077768,0,1.292120479885942e-09,1.003432262024265e-13
1.2067926406393288,3.1624542775722027e-16,0.9999909269209776,0,9.073079020780893e-06,1.3489844027768926e-15
1.7575106248547894,1.1846698674566014e-15,0.9999999044431218,0,9.555687600086468e-08,9.699484539800924e-16
2.559547922699533,7.103767509099815e-16,0.9999999998681863,0,1.3181156635781292e-10,1.4201368553347981e-15
3.727593720314938,3.945438960739846e-16,0.9999999999999905,0,9.125505715615228e-15,5.3633310872557276e-17
5.428675439323859,1.104621327095007e-15,0.9999999999999978,0,3.88488406039527e-21,1.0398974212105337e-15
7.9060432109076855,7.101013551718586e-16,0.9999999999999971,0,5.275210464816993e-30,2.196259660136573e-15
11.513953993264458,1.420200681391005e-15,0.999999999999998,0,5.934665092948249e-43,5.652448024459859e-16
16.768329368110066,0.0,1.0,0,0.0,0.0
24.420530945486497,0.0,1.0,0,0.0,0.0
35.564803062231285,0.0,1.0,0,0.0,0.0
51.79474679231202,0.0,1.0,0,0.0,0.0
75.43120063354607,0.0,1.0,0,0.0,0.0
109.85411419875572,0.0,1.0,0,0.0,0.0
159.98587196060572,0.0,1.0,0,0.0,0.0
232.99518105153672,0.0,1.0,0,0.0,0.0
339.3221771895323,0.0,1.0,0,0.0,0.0
494.1713361323828,0.0,1.0,0,0.0,0.0
719.6856730011514,0.0,1.0,0,0.0,0.0
1048.1131341546852,0.0,1.0,0,0.0,0.0
1526.4179671752302,0.0,1.0,0,0.0,0.0
2222.996482526191,0.0,1.0,0,0.0,0.0
3237.45754281764,0.0,1.0,0,0.0,0.0
4714.8663634573895,0.0,1.0,0,0.0,0.0
6866.488450042998,0.0,1.0,0,0.0,0.0
10000.0,0.0,1.0,0,0.0,0.0
