s,X,Y,R
0.0001,0.3017511278472762,0.3052399353651231,0.3930089367876008
0.00014563484775012445,0.2868343945012075,0.29169629466261787,0.42146931083617456
0.00021209508879201905,0.26479396129486155,0.2713932902795394,0.46381274842559905
0.00030888435964774815,0.2325978396904031,0.24115630457376475,0.5262458557358322
0.0004498432668969444,0.18728575604674483,0.19751680556117762,0.6151974383920776
0.0006551285568595509,0.12925459723278362,0.1398140426184501,0.7309313601487663
0.0009540954763499944,0.06848429674659257,0.07692588952369031,0.8545898137297171
0.0013894954943731374,0.02396886063383999,0.028473554937746084,0.947557584428414
0.0020235896477251557,0.0046651768862764524,0.006019603491260694,0.9893152196224629
0.0029470517025518097,0.00040789973646447966,0.0005943211311294495,0.9989977791324061
0.004291934260128779,1.157473773071736e-05,2.015023642916305e-05,0.9999682750258401
0.0062505519252739694,6.409686905826546e-08,1.4611420899779816e-07,0.9999997897889219
0.009102981779915217,0.0,0.0,1.0
0.013257113655901081,0.0,0.0,1.0
0.019306977288832496,0.0,0.0,1.0
0.02811768697974228,0.0,0.0,1.0
0.040949150623804234,0.0,0.0,1.0
0.05963623316594643,0.0,0.0,1.0
0.08685113737513521,0.0,0.0,1.0
0.12648552168552957,0.0,0.0,1.0
0.18420699693267145,0.0,0.0,1.0
0.2682695795279725,0.0,0.0,1.0
0.3906939937054613,0.0,0.0,1.0
0.5689866029018293,0.0,0.0,1.0
0.8286427728546842,0.0,0.0,1.0
1.2067926406393288,0.0,0.0,1.0
1.7575106248547894,0.0,0.0,1.0
2.559547922699533,0.0,0.0,1.0
3.727593720314938,0.0,0.0,1.0
5.428675439323859,0.0,0.0,1.0
7.9060432109076855,0.0,0.0,1.0
11.513953993264458,0.0,0.0,1.0
16.768329368110066,0.0,0.0,1.0
24.420530945486497,0.0,0.0,1.0
35.564803062231285,0.0,0.0,1.0
51.79474679231202,0.0,0.0,1.0
75.43120063354607,0.0,0.0,1.0
109.85411419875572,0.0,0.0,1.0
159.98587196060572,0.0,0.0,1.0
232.99518105153672,0.0,0.0,1.0
339.3221771895323,0.0,0.0,1.0
494.1713361323828,0.0,0.0,1.0
719.6856730011514,0.0,0.0,1.0
1048.1131341546852,0.0,0.0,1.0
1526.4179671752302,0.0,0.0,1.0
2222.996482526191,0.0,0.0,1.0
3237.45754281764,0.0,0.0,1.0
4714.8663634573895,0.0,0.0,1.0
6866.488450042998,0.0,0.0,1.0
10000.0,0.0,0.0,1.0
