s,X,Y,R,S
0.0001,0.23179229565389292,0.22006835481716766,0.3028703686565767,0.24526898087236262
0.00014563484775012445,0.22287346808520955,0.2067890732921228,0.3289358354554996,0.24140162316716815
0.00021209508879201905,0.20930144527908792,0.18800926650740366,0.3687642504392377,0.23392503777427068
0.00030888435964774815,0.18858891975537087,0.16208656774448393,0.4298571623482911,0.21946735015185415
0.0004498432668969444,0.15752384800600844,0.12795461748026343,0.5220467392595608,0.19247479525416727
0.0006551285568595509,0.11412733270635182,0.08702246972799381,0.6517815727153955,0.14706862485025887
0.0009540954763499944,0.06375227003016913,0.04610455003076094,0.8037706347693397,0.0863725451697301
0.0013894954943731374,0.02321499576780611,0.016525357606322892,0.9275571011620937,0.032702545463777453
0.0020235896477251557,0.004594027628839608,0.0034074450620406324,0.9853523754603695,0.006646151848750187
0.0029470517025518097,0.00040296507093184295,0.00033073762664820127,0.9986687238150833,0.0005975734873367984
0.004291934260128779,1.1461275353747677e-05,1.109232812153069e-05,0.9999596678864925,1.777851003229571e-05
0.0062505519252739694,6.402236019080785e-08,7.991722751180841e-08,0.9999997454579068,1.106025053642187e-07
0.009102981779915217,0.0,0.0,1.0,0.0
0.013257113655901081,0.0,0.0,1.0,0.0
0.019306977288832496,0.0,0.0,1.0,0.0
0.02811768697974228,0.0,0.0,1.0,0.0
0.040949150623804234,0.0,0.0,1.0,0.0
0.05963623316594643,0.0,0.0,1.0,0.0
0.08685113737513521,0.0,0.0,1.0,0.0
0.12648552168552957,0.0,0.0,1.0,0.0
0.18420699693267145,0.0,0.0,1.0,0.0
0.2682695795279725,0.0,0.0,1.0,0.0
0.3906939937054613,0.0,0.0,1.0,0.0
0.5689866029018293,0.0,0.0,1.0,0.0
0.8286427728546842,0.0,0.0,1.0,0.0
1.2067926406393288,0.0,0.0,1.0,0.0
1.7575106248547894,0.0,0.0,1.0,0.0
2.559547922699533,0.0,0.0,1.0,0.0
3.727593720314938,0.0,0.0,1.0,0.0
5.428675439323859,0.0,0.0,1.0,0.0
7.9060432109076855,0.0,0.0,1.0,0.0
11.513953993264458,0.0,0.0,1.0,0.0
16.768329368110066,0.0,0.0,1.0,0.0
24.420530945486497,0.0,0.0,1.0,0.0
35.564803062231285,0.0,0.0,1.0,0.0
51.79474679231202,0.0,0.0,1.0,0.0
75.43120063354607,0.0,0.0,1.0,0.0
109.85411419875572,0.0,0.0,1.0,0.0
159.98587196060572,0.0,0.0,1.0,0.0
232.99518105153672,0.0,0.0,1.0,0.0
339.3221771895323,0.0,0.0,1.0,0.0
494.1713361323828,0.0,0.0,1.0,0.0
719.6856730011514,0.0,0.0,1.0,0.0
1048.1131341546852,0.0,0.0,1.0,0.0
1526.4179671752302,0.0,0.0,1.0,0.0
2222.996482526191,0.0,0.0,1.0,0.0
3237.45754281764,0.0,0.0,1.0,0.0
4714.8663634573895,0.0,0.0,1.0,0.0
6866.488450042998,0.0,0.0,1.0,0.0
10000.0,0.0,0.0,1.0,0.0
