s,X,Y_{cj},Y_{rj},U,W
0.0001,0.19918312494400414,0.20122519007210432,0.20127341014351033,0.19913515005363622,0.19918312478674496
0.00014563484775012445,0.19880977023218308,0.20178508447697097,0.20185536931575068,0.19874000568145442,0.1988097702936409
0.00021209508879201905,0.1982654006460242,0.2026013475691653,0.20270383054970262,0.1981640206082791,0.19826540062682874
0.00030888435964774815,0.19747128517948975,0.20379190311643147,0.2039414133647288,0.19732411304068564,0.1974712852986644
0.0004498432668969444,0.1963120336722012,0.2055294724385883,0.20574774553282227,0.19609871474262436,0.1963120336137639
0.0006551285568595509,0.19461815339139676,0.20806752444130813,0.20838649474254634,0.19430967455547274,0.19461815286927608
0.0009540954763499944,0.19214003734427318,0.21177884590565108,0.21224554847581698,0.1916955314293274,0.19214003684493128
0.0013894954943731374,0.1885092745679045,0.21721265410988022,0.21789649694718777,0.18787230225111864,0.18850927212390878
0.0020235896477251557,0.18318200622321104,0.22517768790510068,0.22618102887659663,0.18227728275228963,0.18318199424280204
0.0029470517025518097,0.17536047332823132,0.23685629088439472,0.2383288014101392,0.1740940147034538,0.1753604196737809
0.004291934260128779,0.16390193728120592,0.253934917726791,0.25608915347188127,0.1621722816238697,0.16390170989625205
0.0062505519252739694,0.14727884655418796,0.2786568881925325,0.28177024045546506,0.14501609525582634,0.14727792954198823
0.009102981779915217,0.1238261096867756,0.3134578133352648,0.317808246266708,0.12108510061656345,0.12382273009468808
0.013257113655901081,0.09287540234750709,0.3593345767461737,0.36494100430003024,0.08998407254311523,0.09286494406317371
0.019306977288832496,0.0574000951078697,0.41207605073193704,0.4181396709986444,0.05500746901665544,0.05737671414489337
0.02811768697974228,0.026003629715465226,0.459334856906733,0.46401526701568346,0.02467235281016421,0.02597389355195414
0.040949150623804234,0.007454232872053611,0.48800248598182944,0.4900635815774051,0.007041354193593258,0.007438345375118624
0.05963623316594643,0.001131916753329365,0.4981307481376846,0.49853394085997543,0.0010741661533418552,0.0011292280956687077
0.08685113737513521,7.088160078574352e-05,0.49988204140754844,0.4999081422349064,6.81678471408298e-05,7.076690961856166e-05
0.12648552168552957,1.2461374064401113e-06,0.49999796618373843,0.4999983235905123,1.2190170603848398e-06,1.2450712824846633e-06
0.18420699693267145,3.4697755616051817e-09,0.4999999945511318,0.49999999507797543,3.4365366244766366e-09,3.464580603736395e-09
0.2682695795279725,3.9493703738947e-16,0.5000000000000266,0.49999999999997136,7.981019297245539e-16,8.495260231346412e-16
0.3906939937054613,6.536470800312682e-16,0.5000000000000137,0.49999999999998535,2.4307500788662794e-16,1.6953971138311026e-16
0.5689866029018293,5.854449547743536e-16,0.4999999999999875,0.5000000000000087,1.6181048055568943e-15,1.6099736256294727e-15
0.8286427728546842,6.483565383756538e-17,0.49999999999999295,0.5000000000000066,2.654209578975333e-16,1.6107607750270152e-16
1.2067926406393288,6.469461146213674e-17,0.4999999999999604,0.5000000000000387,4.033304683342587e-16,3.4672268330488903e-16
1.7575106248547894,9.930136612989095e-17,0.49999999999998523,0.5000000000000143,2.234280737922546e-16,2.234280737922546e-16
2.559547922699533,9.930136612989088e-17,0.5000000000000038,0.49999999999999606,2.482534153247272e-17,2.482534153247272e-17
3.727593720314938,1.290661140136292e-16,0.4999999999999993,0.5000000000000004,1.0083290157314782e-18,4.033316062925913e-18
5.428675439323859,4.468561475845085e-16,0.4999999999999937,0.5000000000000052,3.22729439922145e-16,3.22729439922145e-16
7.9060432109076855,6.452390410684626e-17,0.499999999999989,0.5000000000000109,2.0163720033389456e-18,9.577767015859992e-18
11.513953993264458,2.48253415324727e-16,0.49999999999998773,0.5000000000000118,1.4895204919483618e-16,1.4895204919483618e-16
16.768329368110066,6.452378153936e-17,0.49999999999999906,0.5000000000000009,6.553196562591251e-18,6.553196562591251e-18
24.420530945486497,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
35.564803062231285,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
51.79474679231202,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
75.43120063354607,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
109.85411419875572,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
159.98587196060572,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
232.99518105153672,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
339.3221771895323,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
494.1713361323828,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
719.6856730011514,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1048.1131341546852,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1526.4179671752302,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
2222.996482526191,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
3237.45754281764,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
