s,X_{cj},X_{rj},Y_{cj},Y_{rj},T,V
0.0001,0.16609534886993355,0.16648226105057956,0.16779818901212507,0.16783211035326132,0.16568644190175127,0.16610564881234927
0.00014563484775012445,0.1658341245982913,0.16639628746211715,0.16831593142451493,0.16836566223361474,0.1652397718061756,0.16584822247528633
0.00021209508879201905,0.1654531302080773,0.1662690395458433,0.16907147318727517,0.16914459599976747,0.16459000490824824,0.16547175615078852
0.00030888435964774815,0.16489708820453935,0.1660793962280979,0.170175020219819,0.1702829854335102,0.16364530617637602,0.16492020373765762
0.0004498432668969444,0.16408481726683727,0.16579403608419868,0.1717889097188818,0.17194925058768945,0.16227291522395487,0.16411007111843784
0.0006551285568595509,0.16289668990271866,0.16535901235543357,0.17415333917450948,0.1743933758953019,0.16028165269909886,0.1629159299729376
0.0009540954763499944,0.16115564778892247,0.16468432088055354,0.1776257523665485,0.1779889658541117,0.1573979063752675,0.16114740673459624
0.0013894954943731374,0.1585982112163761,0.16361485124769176,0.182741661179629,0.1832988658253217,0.15323413003196715,0.1585122804990142
0.0020235896477251557,0.15483011183331097,0.16187484943651836,0.19030854163656824,0.19117757495723678,0.14725125176602868,0.15455767037033705
0.0029470517025518097,0.14925945738674498,0.15896201168812576,0.20154693554926978,0.2029263620369274,0.13872449823680907,0.14858073510212297
0.004291934260128779,0.14100318633882206,0.15395397926456078,0.21828142610533086,0.22050227658225402,0.12674532381142245,0.13951380789760975
0.0062505519252739694,0.128789471602743,0.14520220110341575,0.2431090460683587,0.24668827574390034,0.11035230542477631,0.12585870005680583
0.009102981779915217,0.11099958876881753,0.13005959173679957,0.2791836120461531,0.2847764637092973,0.08900726294674621,0.10597348079218628
0.013257113655901081,0.08636480626045194,0.10548549210909486,0.32852779874145643,0.3364735672196769,0.06371664038649018,0.07943169528282963
0.019306977288832496,0.056267649250515604,0.07147468153041929,0.3874608773550788,0.3966650043532996,0.03840317495985787,0.049728612550828846
0.02811768697974228,0.027567653527378642,0.03631855934894444,0.44257668649715765,0.45007889127003364,0.01880383157573704,0.02465437778074847
0.040949150623804234,0.009037528040393423,0.012517776873824856,0.4788764899520397,0.4825546751797438,0.007463583312759656,0.009549946641238528
0.05963623316594643,0.0018213739081231097,0.002791263536414356,0.49468115548509795,0.4956036977586747,0.002291769810254386,0.0028107395014355394
0.08685113737513521,0.0002279737374994802,0.00041176414618940087,0.49912280341725895,0.49921733320549455,0.00046562368937836795,0.0005545018041792344
0.12648552168552957,1.872212749576158e-05,3.827627689801126e-05,0.49991557803114983,0.49991832828699,5.0063556218604885e-05,5.903172124796205e-05
0.18420699693267145,7.550144579068839e-07,1.5961778200109348e-06,0.4999964488173492,0.49999657878512016,2.1185785579444425e-06,2.5026266948011594e-06
0.2682695795279725,8.30339913478166e-09,1.7703940299100782e-08,0.49999995910144307,0.49999996439980826,2.3058520108071138e-08,2.7432889129092628e-08
0.3906939937054613,1.8959389993879237e-11,4.2921553447785394e-11,0.499999999703176,0.5000000001150545,5.164124163737859e-11,6.824723793446794e-11
0.5689866029018293,1.0744522580876339e-15,5.128898845527141e-16,0.49999999999999634,0.5000000000000022,6.325055009678156e-20,6.082842275154885e-19
0.8286427728546842,8.475298075870392e-16,1.6308733467509722e-15,0.5000000000000058,0.4999999999999918,2.8608020743071117e-20,9.037441620760891e-20
1.2067926406393288,2.1492667335252186e-16,3.3672731867471017e-16,0.49999999999997974,0.5000000000000197,2.0532001336341647e-22,7.015695956112096e-22
1.7575106248547894,5.72565528775664e-16,3.129969297631963e-16,0.4999999999999967,0.5000000000000026,8.400186783930443e-24,1.1736862595947199e-23
2.559547922699533,2.6522277896292006e-16,7.30283360235738e-16,0.5000000000000053,0.4999999999999937,4.5158648314040786e-27,8.138835902219933e-26
3.727593720314938,3.330669073875469e-16,2.7755575615628904e-16,0.5000000000000094,0.49999999999999,0.0,0.0
5.428675439323859,1.9428902930940237e-16,6.383782391594649e-16,0.5000000000000092,0.4999999999999899,0.0,0.0
7.9060432109076855,4.291608223263675e-16,8.901861244510552e-16,0.4999999999999994,0.4999999999999994,0.0,0.0
11.513953993264458,2.8532891499929983e-16,1.0070801454724967e-16,0.49999999999999983,0.49999999999999983,0.0,0.0
16.768329368110066,5.237524829574711e-16,1.9972293009556383e-16,0.49999999999999967,0.49999999999999967,0.0,0.0
24.420530945486497,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
35.564803062231285,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
51.79474679231202,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
75.43120063354607,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
109.85411419875572,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
159.98587196060572,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
232.99518105153672,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
339.3221771895323,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
494.1713361323828,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
719.6856730011514,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
1048.1131341546852,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
