s,X_{cj},X_{rj},Y_{cj},Y_{rj},U,W
0.0001,0.16609901156382145,0.16609901156380702,0.16780189171845797,0.16783540399286234,0.1660656697065095,0.16609901145454187
0.00014563484775012445,0.16583930958203374,0.16583930958205437,0.1683211999230775,0.1683700643408988,0.1657908069470793,0.1658393096248563
0.00021209508879201905,0.1654603654322129,0.16546036543220133,0.16907888544652117,0.1691501722560625,0.16538984601380732,0.16546036541919487
0.00030888435964774815,0.1649069601283525,0.1649069601283596,0.1701852656006658,0.17028934368439655,0.1648045102454294,0.16490696021279638
0.0004498432668969444,0.16409779704133395,0.16409779704132596,0.1718026787506238,0.17195479410381534,0.16394913605560674,0.16409779700729418
0.0006551285568595509,0.16291267475716262,0.16291267475714416,0.17417098612716544,0.17439364204330704,0.16269734789246343,0.1629126744227573
0.0009540954763499944,0.16117287305213074,0.16117287305212927,0.17764647963999147,0.17797304596730557,0.16086185545210493,0.16117287283633805
0.0013894954943731374,0.1586108933172679,0.15861089331725345,0.18276173074039512,0.1832419467256513,0.15816364370507108,0.15861089219436106
0.0020235896477251557,0.15482365635985815,0.15482365635984166,0.19031779942334406,0.19102612690608378,0.1541851104343023,0.15482365051657004
0.0029470517025518097,0.14920158094777444,0.14920158094776437,0.20152329294800636,0.20257114475847376,0.14830084627325735,0.1492015541247237
0.004291934260128779,0.14082977293605942,0.14082977293606674,0.21818688522135096,0.21973840501010625,0.13958550664085093,0.1408296572555658
0.0062505519252739694,0.12838858770262768,0.1283885877026429,0.24290898514283418,0.2451926444937961,0.12673308584687118,0.12838810911122797
0.009102981779915217,0.11021020336119638,0.11021020336119355,0.2789679475241667,0.2822486311710001,0.10815464548504032,0.11020836909740298
0.013257113655901081,0.0850213400242983,0.08502134002430116,0.3288805027849919,0.3332845667232484,0.0827769228680962,0.08501532757506408
0.019306977288832496,0.05432277037799579,0.05432277037801685,0.3898135700982146,0.39484970127309277,0.05238297124686911,0.054308216625810805
0.02811768697974228,0.0253663369919474,0.02536633699194207,0.4477693267411574,0.4519150245972446,0.02423701837278132,0.025345956304927364
0.040949150623804234,0.007404521490713212,0.007404521490728624,0.4844145880684253,0.48634263810053335,0.007041165822000743,0.00739256502759877
0.05963623316594643,0.0011311341343610251,0.001131134134339306,0.4975709378719836,0.49795884864069834,0.0010789806157672868,0.001128964602850457
0.08685113737513521,7.089001277088614e-05,7.089001277902394e-05,0.49984685701467013,0.4998721807919373,6.838920664830627e-05,7.079296119440111e-05
0.12648552168552957,1.2462095867453228e-06,1.2462096048537018e-06,0.49999734666376544,0.49999769488207507,1.220771426634628e-06,1.2452635413801987e-06
0.18420699693267145,3.469828929532889e-09,3.469832736837317e-09,0.49999999282073554,0.49999999333649825,3.4381838615654935e-09,3.4649206342492808e-09
0.2682695795279725,1.926299105984247e-15,9.971430666271397e-16,0.5000000000000028,0.4999999999999935,2.7194810908012903e-16,4.759091908902258e-16
0.3906939937054613,4.007721575946981e-15,1.4313291342667788e-16,0.4999999999999951,0.4999999999999964,2.2418192565453426e-15,2.254343386470177e-15
0.5689866029018293,2.38564848445881e-15,4.828098123309497e-16,0.49999999999998906,0.5000000000000057,1.2105746029768664e-15,1.1573235207344824e-15
0.8286427728546842,1.214781785305176e-15,5.650147838628726e-16,0.4999999999999917,0.5000000000000062,1.9422383195286245e-16,2.1717755754729165e-16
1.2067926406393288,7.038351331892305e-16,2.8153405327569224e-17,0.49999999999999617,0.5000000000000026,2.577796175305557e-16,2.99129931605423e-16
1.7575106248547894,2.809307162689943e-17,2.809307162689943e-17,0.50000000000001,0.49999999999998995,3.511633953362429e-18,3.511633953362429e-18
2.559547922699533,3.13694181607501e-16,1.5870419749115133e-16,0.4999999999999998,0.4999999999999998,9.669400986982698e-18,7.719654264428063e-18
3.727593720314938,3.0847744477531575e-16,2.804340407048325e-16,0.4999999999999993,0.5000000000000001,4.381781886013008e-18,6.134494640418211e-18
5.428675439323859,1.1776045412172554e-15,1.4019101681157803e-16,0.4999999999999996,0.49999999999999906,3.504775420289451e-18,3.504775420289451e-18
7.9060432109076855,4.0404624628989794e-16,4.706537915539198e-17,0.4999999999999998,0.4999999999999998,1.1218553003531783e-18,3.1496359701371195e-18
11.513953993264458,4.532466518368388e-16,1.8129866073473553e-16,0.5000000000000095,0.4999999999999899,4.5324665183683883e-17,4.5324665183683883e-17
16.768329368110066,6.655407244167699e-16,2.653615297669009e-16,0.49999999999999956,0.49999999999999956,4.343362025074452e-18,4.343362025074452e-18
24.420530945486497,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
35.564803062231285,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
51.79474679231202,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
75.43120063354607,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
109.85411419875572,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
159.98587196060572,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
232.99518105153672,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
