s,X,Y_{cj},Y_{rj},Z,U,W
0.0004498432668969444,0.1650841744119369,0.16949493890151263,0.16964766596966235,0.16573356144330104,0.16494439162469599,0.16509526764889107
0.0006551285568595509,0.16434891249874004,0.17077934808228584,0.1710032970190143,0.1653436627599893,0.16415238570601906,0.1643723939339516
0.0009540954763499944,0.16326436117692894,0.17264157812150083,0.1729708750926446,0.1648160473418931,0.16299312084261328,0.16331401742441942
0.0013894954943731374,0.16165768596690236,0.1753333189743706,0.17581929862353854,0.16413267690495056,0.1612944865364875,0.16176253299375035
0.0020235896477251557,0.15926638903256507,0.17920219949773863,0.17992270548889308,0.16331640901012343,0.15880506094124922,0.15948723602943057
0.0029470517025518097,0.15569454045839762,0.18470355903708144,0.18577729226350673,0.16250059186969218,0.1551661060122284,0.1561579103590935
0.004291934260128779,0.1503652022997512,0.19236255682345152,0.19397005643942236,0.16207303556436348,0.1498980776872243,0.15133107118578726
0.0062505519252739694,0.1425208383508476,0.20257935519393608,0.20498942444671853,0.16293013976851473,0.14246882564128827,0.14451141659869476
0.009102981779915217,0.13143937570521488,0.21505445578615984,0.2186450476092545,0.16677926998867215,0.1326222864039239,0.13545956450677465
0.013257113655901081,0.11717970637734933,0.22765243860783263,0.2328964473700311,0.17603532229634825,0.12122864231616881,0.12500744303226985
0.019306977288832496,0.10176845842258816,0.23557049674722152,0.24294031673386687,0.1923464189094928,0.111307165788791,0.11606714339803968
0.02811768697974228,0.0889316250255653,0.23380639750362606,0.24349899793492752,0.21425381525216325,0.1069420168070658,0.11256714747665206
0.040949150623804234,0.08067497192717736,0.22294833681637638,0.23426873533200382,0.23819207450961796,0.10891262160661395,0.11500325980821037
0.05963623316594643,0.07536102625945691,0.20937415452802,0.22036292198239352,0.262605826244624,0.1132958973666281,0.11900017361887756
0.08685113737513521,0.07072027509376888,0.19801701977866717,0.20642463002000144,0.2883631434119037,0.11608851059221108,0.12038642110344783
0.12648552168552957,0.06614955122271567,0.18897821932083445,0.19376141636074257,0.31660262801593975,0.11604508258708937,0.11846310249267822
0.18420699693267145,0.06186408234729896,0.18051533191825037,0.18236466659261355,0.34730338159644814,0.11351309901624605,0.1144394385291429
0.2682695795279725,0.05799622354019159,0.17179659899472946,0.1722242080330266,0.3790518254140133,0.10935916961795554,0.10957197440008351
0.3906939937054613,0.054601623194386474,0.1631710426919446,0.16322055062867813,0.40969114770605636,0.10464554685294464,0.10467008892598968
0.5689866029018293,0.0517796973612525,0.15544933216883877,0.1554515490603199,0.4367619646510451,0.10027817980940981,0.1002792769491339
0.8286427728546842,0.049693116197011764,0.14942978853448435,0.14942981448923282,0.4576097104366851,0.09691877874678746,0.09691879159579847
1.2067926406393288,0.04854112108274506,0.1458616646905474,0.1458616647422603,0.4694984092138357,0.09511857012247943,0.09511857014813217
1.7575106248547894,0.04850656268115206,0.14539509942817966,0.14539509942817921,0.47003589075276636,0.09533367385486137,0.09533367385486137
2.559547922699533,0.04965821889999941,0.14834251750388816,0.1483425175038868,0.4581325862678512,0.09776207991218719,0.09776207991218719
