s,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
0.0001,0.11095432129956802,0.11112667910888878,0.11176853590682052,0.11179857567891792,0.11085913507958203,0.11053383559919641,0.11111201196398644,0.11089242093159421,0.11095448443144576
0.00014563484775012445,0.11088227976712382,0.11113297086425022,0.11206929503192258,0.1121132624148303,0.11074521546300135,0.11027084212074449,0.11111173560540655,0.11079177277953837,0.11088262595318234
0.00021209508879201905,0.11077681430474554,0.11114122194440244,0.1125081313817478,0.11257262689487603,0.11058051167175394,0.10988833546743447,0.11111056251392493,0.11064424710656695,0.1107775487145478
0.00030888435964774815,0.11062206286776835,0.11115130385706076,0.11314896089744894,0.11324387052571218,0.11034320761835847,0.1093323499704903,0.11110722040999448,0.11042740262927585,0.11062362122389073
0.0004498432668969444,0.11039425195022785,0.11116187969978925,0.11408584550421301,0.11422614233818512,0.110003069855142,0.10852495604750959,0.1110988900255905,0.11010740548837471,0.11039755909096811
0.0006551285568595509,0.11005735427219943,0.1111685628145438,0.11545774915689178,0.11566644931510922,0.10951938305997064,0.10735411036514733,0.11107941966773764,0.10963259661681993,0.11006437473158044
0.0009540954763499944,0.10955600093742848,0.11115979598414583,0.1174709646300826,0.11778411806035792,0.10883997513576096,0.10565983409107395,0.1110355399833551,0.10892286049408073,0.10957091068371451
0.0013894954943731374,0.10880364794235758,0.11110781982708265,0.12043329993983616,0.12090863637793606,0.10790430495838596,0.10321631701940487,0.11093888300949863,0.10785176039665978,0.10883533052883834
0.0020235896477251557,0.10766259163895338,0.11094932988003839,0.12480561412449963,0.12553780222345237,0.10665774106838746,0.09971107643020269,0.11072944703584907,0.10621642617548235,0.10772997142313463
0.0029470517025518097,0.10591057132346593,0.11054526840545562,0.1312755251437413,0.13242302439956172,0.10509355484522595,0.09472722739115291,0.11028241430311855,0.1036883846219228,0.10605402956635515
0.004291934260128779,0.10318872996573754,0.10960218284847642,0.14084480545509526,0.14267489457340463,0.10335790105476209,0.08774834571627198,0.10934647910130404,0.09974208724039486,0.10349457404455327
0.0062505519252739694,0.09893912165018165,0.10753976869812608,0.15485902131950777,0.1578117506262061,0.10198115665193365,0.07823855451810009,0.10745084964500318,0.09358803699940066,0.09959173989154077
0.009102981779915217,0.09240850174548008,0.10335816788516448,0.174693322189735,0.17942712620117818,0.1022917732680989,0.06591344305273399,0.10385652365645376,0.08425312801093565,0.09379801399022003
0.013257113655901081,0.0830036474199374,0.09585676216724788,0.20034574778710504,0.2076188299861573,0.10679909404094777,0.05134238720576341,0.09791173628390466,0.07119902981122149,0.08592276529771518
0.019306977288832496,0.07146380391370159,0.08501395265394407,0.2273733947803001,0.23755510502209656,0.11841105729012198,0.03661240879135043,0.09048294876071944,0.05574396153944443,0.07734336724832126
0.02811768697974228,0.06100830628994369,0.07392052150311441,0.24595421374780663,0.258412464829469,0.13731309720253068,0.024645506825306723,0.08540849113374717,0.041505754920852046,0.07183164354722966
0.040949150623804234,0.05496408912852686,0.06654340769585496,0.24962022629495706,0.2625667238484895,0.15959275416205176,0.016826332200829498,0.08622003901706168,0.031232937773727966,0.07243348987850078
0.05963623316594643,0.05269020568431715,0.06266273904099592,0.2432209104912392,0.25416807373540024,0.18192324888538355,0.012569738606340098,0.09089538447957196,0.024631646685730896,0.07723805239102087
0.08685113737513521,0.05139108884839793,0.05968817030717337,0.23472101217572644,0.24185461333736738,0.20413087788501116,0.01071875323087702,0.09500837715300213,0.020442257837478398,0.08204484922496615
0.12648552168552957,0.049769917478806526,0.05662247153478088,0.22699379471113243,0.2300573115027674,0.22718301612941935,0.010076452394663774,0.09675871504887788,0.01774495819664436,0.08479336300290748
0.18420699693267145,0.04784585434227431,0.05367018855610365,0.21956360014795384,0.21960578359338945,0.2515964207748066,0.009852264000119572,0.09639185255975176,0.01601489964611189,0.08545913637948907
0.2682695795279725,0.045821659139810136,0.05105678352908204,0.21189080161771232,0.2103405138078232,0.2769217525958517,0.009720492756887831,0.09467080485749182,0.014976373785235112,0.08460081791010576
0.3906939937054613,0.043857343582386736,0.048873037894798486,0.20423312480200737,0.20193903591361548,0.30180888369953046,0.009577507480752718,0.09246068041900173,0.014431285714543,0.08281910049336412
0.5689866029018293,0.04212287898132225,0.04718035773473077,0.19730392436650648,0.19441883524412665,0.32415407717060624,0.00942139099764922,0.09045713935044664,0.01421553431529538,0.08072586183931629
0.8286427728546842,0.04080819298884388,0.04607263474326987,0.1918977040261851,0.18829610617499817,0.34133191967005605,0.009285425672485966,0.08914469284420481,0.014208504028245271,0.07895481985171081
1.2067926406393288,0.04008907781328031,0.04568381601413238,0.188823507849986,0.18433385842576128,0.3505360620515313,0.009200131024685306,0.08893630648900178,0.014352817283577242,0.07804442304804445
1.7575106248547894,0.04009028520345511,0.04613484879064,0.18879700137529246,0.18325503289928913,0.34939479814298163,0.0091840957113056,0.09016421675894594,0.014628774291347324,0.07835094682674297
2.559547922699533,0.040830807471094674,0.047426893448088134,0.19211961769275668,0.18543661200596476,0.3370511274772791,0.009250439705843732,0.092894872433677,0.01501448538120755,0.07997514438408856
3.727593720314938,0.04214802292323931,0.04934027138256086,0.1982872286083719,0.1905279238329903,0.31538570590215254,0.009423208072175738,0.09674281517314903,0.01550404655548742,0.08264077754987278
5.428675439323859,0.0437062753023444,0.051468575485343046,0.20595020495068447,0.19731611961824422,0.28900621532959836,0.009738339016053824,0.10095047813965634,0.016138291736334607,0.08572550042174062
7.9060432109076855,0.04518112078188312,0.053455867906503314,0.2136168476742837,0.20431756575373355,0.26280882430199304,0.010197989388138293,0.10485516742081308,0.016942595325085644,0.08862402144756616
11.513953993264458,0.0464285775249043,0.055178198832857246,0.22048487682133072,0.21063222383066255,0.23937404505118498,0.010741758382248352,0.10823414486794555,0.017854746259948654,0.09107142842891748
16.768329368110066,0.04743118807936694,0.05664682046193346,0.2263991348422136,0.21601994478466707,0.21923985943531568,0.011309996146343686,0.11111491699416529,0.01880003961693018,0.09303809963906408
24.420530945486497,0.048194589785623944,0.05788124021507355,0.23139096350906108,0.22048123639546516,0.2023314301916497,0.01188795189608277,0.11353627888341479,0.01976076762105764,0.09453554150257147
35.564803062231285,0.04872050151782378,0.05889170248027607,0.23549860539798081,0.2240431461466743,0.18852870090879564,0.012482616511847991,0.11551833948054342,0.020749249963402955,0.09556713759265505
51.79474679231202,0.049003237143614466,0.05968325458327455,0.23874426793185902,0.2267157469110947,0.17776646204098226,0.013107062040290933,0.1170709993748861,0.02178723557690825,0.09612173439708979
75.43120063354607,0.049036473008757145,0.06025948725383377,0.24114431680545292,0.2285042379361125,0.16999885077946197,0.013773455410572235,0.11820130192098245,0.02289494905995795,0.09618692782486911
109.85411419875572,0.048859394554416305,0.060643047032594564,0.24278489495062408,0.2295133893247263,0.16490587303631316,0.014461499240549808,0.11895366917932094,0.024038651055483435,0.09583958162597139
159.98587196060572,0.04859397225547397,0.06088650317187444,0.24385926762647547,0.23001463044665016,0.16173267928109808,0.015086020810709165,0.11943121776021631,0.025076763069456706,0.09531894557804568
232.99518105153672,0.04837363843694503,0.06103560486316182,0.24452973347896942,0.23026901431980504,0.1598117477025576,0.015539410908096612,0.11972368646235776,0.02583041150948533,0.0948867523186214
339.3221771895323,0.04825507398986828,0.061110554583174645,0.24486844648395753,0.23038977925122545,0.15884917710267452,0.015776901362400023,0.1198707032208431,0.026225180410346733,0.0946541835955098
494.1713361323828,0.04821611356547238,0.06113499813377236,0.24497897507000305,0.23042889821174306,0.15853536513575714,0.01585471395386093,0.11991865018547802,0.026354524519331696,0.09457776122458146
719.6856730011514,0.04820949353974332,0.061139150147245594,0.24499775006608696,0.23043554104599218,0.15848206146283103,0.01586793394970081,0.11992679451959815,0.026376499479304174,0.0945647757894979
1048.1131341546852,0.04820904158251757,0.06113943360927827,0.24499903185382624,0.23043599455736585,0.15847842236940643,0.015868836493720045,0.11992735054127712,0.026377999734594287,0.09456388925801419
1526.4179671752302,0.04820903301072537,0.06113943898540117,0.24499905616413212,0.2304360031586346,0.15847835335058943,0.015868853611313006,0.11992736108674922,0.026378028188341705,0.09456387244411331
2222.996482526191,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
3237.45754281764,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
4714.8663634573895,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
6866.488450042998,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
10000.0,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
