s,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,V
0.0001,0.14259846429734468,0.1428832466331462,0.14352626439775953,0.14355114029094185,0.1427621394965726,0.14218511119791202,0.1424936336863232
0.00014563484775012445,0.14247994118228138,0.1428940616228282,0.14383197463763064,0.1438684145723552,0.1427199392527066,0.14187875671679703,0.1423269120154012
0.00021209508879201905,0.14230680132344806,0.14290858159494624,0.14427758392044632,0.14433110229135146,0.14265977886144243,0.14143297136148547,0.14208318064688003
0.00030888435964774815,0.14205353700476506,0.1429271200681932,0.14492734041697936,0.1450062317669747,0.14257493143413283,0.14078456143233672,0.1417262778766182
0.0004498432668969444,0.1416823645610103,0.14294858975190172,0.1458752131205118,0.14599211419091349,0.14245726037377515,0.1398420179581851,0.1412024400437024
0.0006551285568595509,0.14113695070322937,0.14296814271189298,0.14725877200985182,0.14743325282384367,0.14229850081163875,0.1384732549967141,0.14043112594282925
0.0009540954763499944,0.14033262355303547,0.14297184070675548,0.1492795024698256,0.1495424993065042,0.1420943180357814,0.1364886413264903,0.1392905746016076
0.0013894954943731374,0.13914092274066517,0.1429249650422556,0.15223201111995574,0.15263359362331194,0.14185509361189064,0.13361850016674937,0.1375949136951715
0.0020235896477251557,0.13736532509595797,0.1427471985228224,0.1565439079357473,0.15716710895846014,0.1416321661342323,0.12948596307293733,0.13505833027984257
0.0029470517025518097,0.1347045857118619,0.14226213837553678,0.16282243644983677,0.1638077105159753,0.14157865828156835,0.12358216004429369,0.13124231062092714
0.004291934260128779,0.13070509076556722,0.14110304321331774,0.17188033481699058,0.1734666345518939,0.14208362763734644,0.11526871707042174,0.12549255194446235
0.0062505519252739694,0.1247313425344751,0.1385710796333794,0.1846360872755799,0.1872196962172857,0.1440432613288461,0.10387878258341536,0.11691975042701849
0.009102981779915217,0.11608262987290775,0.13355699722980144,0.20158992966224595,0.20577335140888683,0.14930266250017787,0.08907481612602662,0.1046196131999535
0.013257113655901081,0.10459567896322158,0.12500841636808388,0.22136617777357975,0.2279018400588478,0.16096385063706303,0.07163533105444864,0.08852870514475542
0.019306977288832496,0.09197713591662848,0.11366756585640729,0.23871275016790558,0.2482509751409941,0.18233133769612672,0.05422329697480402,0.07083693824713383
0.02811768697974228,0.08223411871858483,0.10347094799663635,0.24597901405458633,0.25877000274940376,0.21360290500781584,0.04031379084955494,0.05562922062341806
0.040949150623804234,0.07809981067354409,0.09780837193248146,0.24087822969857833,0.25639293411664277,0.25033163243873946,0.03130277553427605,0.04518624560573778
0.05963623316594643,0.07753491737867516,0.0949897427550255,0.22936627536005022,0.2459276102003631,0.2872798613948552,0.026270153593901356,0.03863143931712955
0.08685113737513521,0.07695791049068777,0.09187415774914359,0.21757704107381198,0.23329299856879493,0.32199038785189776,0.023825152192681574,0.03448235207298222
0.12648552168552957,0.07508975437866354,0.08782131682706022,0.20692267316142213,0.22084075069852113,0.3548019081333402,0.022725512999046845,0.03179808380194582
0.18420699693267145,0.07223243357539522,0.0834384118581014,0.1967228695281221,0.20881875448453002,0.38663768175643287,0.022130997564639203,0.03001885123277912
0.2682695795279725,0.0688749099548256,0.07920509716107378,0.18660598536950407,0.19735430015051714,0.4174988700468233,0.02163837130413042,0.0288224660131257
0.3906939937054613,0.06545642350956808,0.07544706442551659,0.17679803884836617,0.18679559523747724,0.4463056520042037,0.02113728889366849,0.02805993708119959
0.5689866029018293,0.06240946999630486,0.07247502754707237,0.16799485197057842,0.1776879908334408,0.4710269108668049,0.020697185754415405,0.02770856303138317
0.8286427728546842,0.06015728438285209,0.07063607005293954,0.16111185162188307,0.17073238000929913,0.48911292292716907,0.020440889751773984,0.027808601254083104
1.2067926406393288,0.059066897839189204,0.07029964752901417,0.15706779389128253,0.1667410320903705,0.4979380476807667,0.020463709783002097,0.028422871186374845
1.7575106248547894,0.05940170819736073,0.07176588331124933,0.15664726984829525,0.16649633046864828,0.49530738662092905,0.020807591124783715,0.029573830428733586
2.559547922699533,0.06123129719554752,0.07507503511579337,0.16025677013196069,0.1704389829968625,0.48035244745727057,0.021465609802413955,0.031179857300151385
3.727593720314938,0.06427684864563434,0.07978819159881662,0.1674919706655187,0.17819899681379323,0.454719885801762,0.02242178388440885,0.03310232259006625
5.428675439323859,0.06788421358604346,0.0850210563200483,0.17691034881560005,0.18832339733757472,0.4228972602392997,0.023685769812137464,0.035277953889296325
7.9060432109076855,0.07136502135987176,0.08995560942758297,0.18669211494778887,0.1989159253867434,0.3901530116777767,0.02522726044071784,0.037691056759518476
11.513953993264458,0.07438275980361522,0.09429197168736968,0.19571566971987828,0.2087740839547801,0.35969688732909916,0.026909587703650834,0.04022903980160687
16.768329368110066,0.07687283409668345,0.09804066021258594,0.2036529723937289,0.217534038408779,0.3325394837056476,0.028600662285907755,0.0427593488966673
24.420530945486497,0.07881947607124781,0.10121486029872362,0.2104401795046526,0.22512615446536227,0.30890166842994116,0.03025898338507455,0.0452386778449981
35.564803062231285,0.08020111726210992,0.10380179645423358,0.21604516450284122,0.2315215221083754,0.2888695404939101,0.03188748721044247,0.04767337196808731
51.79474679231202,0.08098685574658282,0.10578137058980941,0.22043132798989815,0.23669055405901834,0.2725244622385595,0.033500509392814716,0.05008491998331711
75.43120063354607,0.08115424387977654,0.1071396091650359,0.22357375259647116,0.24061388955148488,0.2599185687488997,0.03510949818210914,0.05249043787622268
109.85411419875572,0.08080106777274272,0.10794016222074806,0.22558752849797192,0.24338423372617912,0.25079770554518827,0.03666833145219911,0.05482097078497097
159.98587196060572,0.08022630180379939,0.1083668458730954,0.2267990977259013,0.24525251254864494,0.2444899271278023,0.03802141590077949,0.05684389901997732
232.99518105153672,0.07974592439732955,0.10859648685370918,0.22751234149047908,0.24643135725527834,0.24045501375952372,0.038980740081792455,0.058278136161887734
339.3221771895323,0.07948843243667109,0.10870717078011398,0.22786539975290135,0.24702585016640408,0.2384131033781743,0.03947819203198122,0.05902185145375412
494.1713361323828,0.07940406935393905,0.10874300186431816,0.22798005338173138,0.24721932220102982,0.23774832005273444,0.03964058947528153,0.059264643670965525
719.6856730011514,0.0793897480975036,0.1087490812919432,0.22799950922337975,0.24725215597469982,0.23763549899328676,0.0396681533664201,0.059305853052766755
1048.1131341546852,0.0793887705122219,0.10874949627828784,0.22800083729584847,0.2472543972385354,0.2376277977217414,0.039670034905912234,0.05930866604745294
1526.4179671752302,0.07938875197157957,0.1087495041488167,0.2280008624837451,0.24725443974579556,0.23762765166131414,0.03967007059072879,0.05930871939802022
2222.996482526191,0.07938875191525419,0.10874950417272711,0.22800086256026372,0.24725443987492843,0.2376276512175962,0.03967007069913594,0.059308719560094356
3237.45754281764,0.07938875191525419,0.10874950417272711,0.22800086256026372,0.24725443987492843,0.2376276512175962,0.03967007069913594,0.059308719560094356
4714.8663634573895,0.07938875191525419,0.10874950417272711,0.22800086256026372,0.24725443987492843,0.2376276512175962,0.03967007069913594,0.059308719560094356
6866.488450042998,0.07938875191525419,0.10874950417272711,0.22800086256026372,0.24725443987492843,0.2376276512175962,0.03967007069913594,0.059308719560094356
10000.0,0.07938875191525419,0.10874950417272711,0.22800086256026372,0.24725443987492843,0.2376276512175962,0.03967007069913594,0.059308719560094356
