s,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
0.0001,0.12467829017456912,0.12489614472155842,0.12595651560650314,0.12599455447483743,0.12423275508526367,0.12487742860965696,0.12468602121389848,0.12467829011371265
0.00014563484775012445,0.12453096596099776,0.12484764108205951,0.12639464775517625,0.1264503357962148,0.1238834519219969,0.1248204403383762,0.12454155115755997,0.12453096598761847
0.00021209508879201905,0.12431583793871127,0.12477575767177983,0.12703454199622186,0.12711625741318464,0.12337567442551864,0.12473626422097746,0.12432982839083699,0.12431583794276937
0.00030888435964774815,0.12400132508228535,0.12466842675898347,0.12797030279339164,0.12809060871572026,0.12263815065969867,0.12461116662839121,0.1240186941810527,0.12400132518047664
0.0004498432668969444,0.12354072502937853,0.1245064986487559,0.129341239383257,0.12951919271279497,0.1215682667324312,0.12442365559474798,0.12355969666039895,0.12354072523823541
0.0006551285568595509,0.12286453352831714,0.1242587363792595,0.1313549763202033,0.13161992651424537,0.12001911553329472,0.1241392618175992,0.12287891555151656,0.12286453435556427
0.0009540954763499944,0.12186842124531978,0.12387252557784686,0.1343237936057185,0.13472181121445143,0.11778217774890357,0.1237010562164619,0.12186178871905416,0.12186842567224401
0.0013894954943731374,0.1203940209194242,0.12325609624806688,0.1387229531701627,0.13932797397474234,0.11456550648915337,0.1230118511050396,0.12032755757663925,0.1203940405167718
0.0020235896477251557,0.11819764382678649,0.12224375778999501,0.14528608282290673,0.14621951642045536,0.1099693856503299,0.12189999896028819,0.1179858846089956,0.11819772992024277
0.0029470517025518097,0.1148987930931584,0.12052729952280025,0.1551622923636898,0.1566271304356258,0.10346750627993861,0.1200529761034222,0.11436483381675573,0.11489916838460922
0.004291934260128779,0.10989690371943121,0.11752307730574363,0.17016807110866783,0.17250408624307467,0.09441688975762776,0.1168907132069912,0.10870174960720368,0.10989850905126
0.0062505519252739694,0.10225001400019515,0.11213483706716915,0.1931413801633738,0.19689351751367415,0.08215584235798454,0.1113437912958183,0.09982398975874228,0.10225662784304265
0.009102981779915217,0.09056839694150928,0.10243778786840338,0.22819854676177256,0.2341109264076574,0.0663212676935249,0.10156855394196766,0.08620071661414351,0.09059380377102119
0.013257113655901081,0.07325238714378271,0.08573376835903515,0.2798548589738284,0.28845323015442964,0.04758266937661605,0.08503529708221308,0.06674963718394088,0.07333815172615415
0.019306977288832496,0.05009049010341016,0.060604042778089826,0.34823742557462956,0.3584531919174989,0.028649095023967053,0.060496315288016175,0.04314882936600855,0.05032060994837963
0.02811768697974228,0.02567037307068309,0.032031620769675716,0.4200209601124894,0.4280271943143594,0.013826591737512177,0.03270707991288278,0.021620006097892566,0.026096173984504877
0.040949150623804234,0.008588465849125088,0.011164303860292529,0.47143549842352805,0.47416749932074004,0.0053475382422683475,0.012088583691927385,0.00815291836823403,0.00905519224388447
0.05963623316594643,0.0016979206048826846,0.0024060726649332894,0.49375378956472,0.49332673473434646,0.00161081042380368,0.0029415987343154332,0.002295471426853703,0.001967601846144872
0.08685113737513521,0.0001989083925683223,0.0003314273198241232,0.4992400924160179,0.49870864172716534,0.0003238378187711563,0.0004833482368073149,0.000438441357700275,0.00027530273114553187
0.12648552168552957,1.5030840472843684e-05,2.9175602595106275e-05,0.49995996773797324,0.4998417436485968,3.452059294156616e-05,4.894837500247248e-05,4.588261647423691e-05,2.4730585943560723e-05
0.18420699693267145,5.752144855895316e-07,1.1883239718945828e-06,0.4999999482621924,0.4999917597312871,1.4481988258160201e-06,2.131440686977897e-06,1.924150499681727e-06,1.0246780504993885e-06
0.2682695795279725,6.110095407802199e-09,1.2993129463666579e-08,0.5000000212051794,0.49999988781126714,1.5617421907176994e-08,2.4092189840751697e-08,2.0889596233772938e-08,1.128112062008872e-08
0.3906939937054613,1.3582775225316602e-11,3.1131810197231425e-11,0.4999999999594252,0.499999999825253,3.459909916381147e-11,5.89052879270664e-11,5.144177448788824e-11,2.5661086134999768e-11
0.5689866029018293,3.460617370275643e-15,3.0582200016389404e-15,0.49999999999999506,0.499999999999996,2.950914036669153e-16,6.840755266823946e-16,1.4754570183345764e-15,6.706622810611711e-18
0.8286427728546842,1.7390955342705963e-15,2.4347337479788348e-15,0.49999999999997474,0.5000000000000204,4.815956864133958e-16,5.351063182371065e-17,1.7390955342705965e-16,9.364360569149365e-17
1.2067926406393288,6.0841082773996055e-16,1.4327093685489395e-15,0.49999999999999545,0.5000000000000014,5.102800490722251e-16,1.8644847946869758e-16,1.5271602430166352e-16,2.1588771306901827e-16
1.7575106248547894,3.4849853709936635e-16,1.0723031910749735e-16,0.500000000000016,0.4999999999999835,6.701894944218584e-17,2.6807579776874338e-17,1.3403789888437169e-17,1.0052842416327876e-17
2.559547922699533,2.5995831089806286e-15,2.7364032726111883e-17,0.49999999999999356,0.5000000000000029,2.0523024544583913e-16,2.4285579044424296e-16,1.5926722172619806e-16,3.0100435998723067e-16
3.727593720314938,7.571719099030458e-16,5.328246773391803e-16,0.5000000000000133,0.49999999999998546,3.939934105087751e-30,2.6290691316077982e-18,2.0921957378602892e-32,6.1344946404181944e-18
5.428675439323859,3.791125953021651e-17,3.0964385854286463e-16,0.49999999999999983,0.49999999999999983,0.0,1.4995172362347926e-17,0.0,1.1313040387357004e-17
7.9060432109076855,1.1469976942133064e-15,8.388599431100934e-16,0.499999999999999,0.4999999999999991,0.0,1.1948562956712833e-17,0.0,1.1948562956712833e-17
11.513953993264458,1.0424672992247267e-15,1.5863632814289318e-15,0.5000000000000254,0.4999999999999714,0.0,3.6259732146947013e-16,0.0,3.6259732146947013e-16
16.768329368110066,4.53246651836837e-17,1.4730516184697201e-15,0.4999999999999981,0.4999999999999992,0.0,6.1188297997973e-16,0.0,6.1188297997973e-16
24.420530945486497,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
35.564803062231285,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
51.79474679231202,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
75.43120063354607,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
109.85411419875572,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
159.98587196060572,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
232.99518105153672,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
339.3221771895323,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
494.1713361323828,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
719.6856730011514,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
1048.1131341546852,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
1526.4179671752302,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
2222.996482526191,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
3237.45754281764,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
4714.8663634573895,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
6866.488450042998,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
10000.0,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
