s,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,U,W
0.0001,0.14260099360353717,0.1426009936035479,0.14352901402614163,0.14355366812938158,0.1425372297432075,0.14257676097372043,0.14260133992046384
0.00014563484775012445,0.14248340819103633,0.14248340819102986,0.14383590698821822,0.14387187702825097,0.1423929247610193,0.1424483321875427,0.14248414265290266
0.00021209508879201905,0.14231139236515122,0.14231139236513887,0.14428315888132465,0.14433568058977791,0.14218466007179045,0.14226076649425837,0.14231294923255863
0.00030888435964774815,0.1420592575908567,0.1420592575908607,0.14493513716950102,0.14501191601831606,0.14188537557208153,0.14198649886636952,0.14206255719201444
0.0004498432668969444,0.1416886652161176,0.14168866521611553,0.14588588669233515,0.14599830948217454,0.14145805222128507,0.14158476566655012,0.14169565550542185
0.0006551285568595509,0.14114187642728765,0.14114187642726755,0.14727287564702451,0.14743786935841635,0.14085387485610956,0.1409949495075642,0.14115667777633026
0.0009540954763499944,0.14033095294809347,0.14033095294808426,0.14929700774362678,0.1495399255266195,0.14001257302443845,0.1401263184830208,0.1403622693261169
0.0013894954943731374,0.13912026926625407,0.1391202692662461,0.1522511529733543,0.15261031723867957,0.1388693714185875,0.13884217371034965,0.13918644612652883
0.0020235896477251557,0.13729827263255587,0.13729827263256714,0.15655866915789754,0.15709258576111468,0.1373785241310073,0.1369358239579523,0.137437851726905
0.0029470517025518097,0.13453369370933205,0.1345336937093234,0.1628176217067513,0.16361633057549962,0.13557460940986057,0.13409684094087268,0.1348272099483605
0.004291934260128779,0.13031663014100398,0.13031663014098416,0.17182383304207574,0.1730259309745143,0.13371134625033737,0.1298748141060306,0.1309308153450538
0.0062505519252739694,0.12391543350181153,0.12391543350182375,0.18447417262988258,0.18628886130811814,0.13253229470335087,0.12368410398916183,0.1251897003658514
0.009102981779915217,0.11448564540650041,0.11448564540650609,0.2012762049439716,0.2040005187846127,0.13366281522500129,0.11500073358238114,0.11708843665102671
0.013257113655901081,0.10167816703243425,0.10167816703243931,0.22099727496011448,0.22499829850511588,0.13973314977722917,0.10407709700768113,0.10683784568498574
0.019306977288832496,0.08697639851044393,0.08697639851042115,0.2387421162067387,0.24436191367609747,0.1530833821784105,0.0932180703894191,0.09664172052846899
0.02811768697974228,0.07419545489369687,0.07419545489369375,0.24702660925511918,0.25438250998321194,0.17285684103001092,0.08668349233956078,0.09065963760470641
0.040949150623804234,0.06626427384485417,0.06626427384485713,0.2430876856292477,0.2516870307189339,0.19510269038773811,0.08664684170960774,0.09094720386476128
0.05963623316594643,0.062006877176833404,0.062006877176832446,0.2326159910487735,0.24105021510441257,0.21761601618964652,0.09029636490408639,0.09440765839941516
0.08685113737513521,0.058769954393366984,0.058769954393369135,0.22214363589404368,0.2287051648227302,0.24116928222728393,0.09362309933960018,0.09681890892960592
0.12648552168552957,0.055545746336032806,0.05554574633603241,0.21322765319055006,0.21703443838663042,0.26693958838770376,0.09492503784864685,0.09678178951440364
0.18420699693267145,0.05242975246982566,0.05242975246982849,0.20476734173292238,0.20626837597005418,0.2950440765708555,0.09416415926503673,0.09489654152147708
0.2682695795279725,0.04956302734130488,0.04956302734130325,0.19608666433025446,0.19644000146760893,0.3243727113078149,0.09190104402800875,0.09207352418370474
0.3906939937054613,0.04701562276063728,0.04701562276063711,0.18748597961708405,0.1875275184057988,0.35304151566948966,0.08894672109658734,0.08896701968976573
0.5689866029018293,0.044878029419221574,0.044878029419220325,0.17971998446087945,0.17972186762416176,0.37871522478596104,0.08604297118246927,0.08604389310808656
0.8286427728546842,0.043286319415867414,0.04328631941586658,0.17359984946189697,0.17359987171305932,0.3987205754719242,0.08375352679927207,0.08375353772211344
1.2067926406393288,0.04240514292718584,0.042405142927186654,0.16992904167313969,0.1699290417177309,0.41022472342384386,0.08255345365447257,0.08255345367644043
1.7575106248547894,0.042382971119160985,0.042382971119161755,0.1694093021543003,0.16940930215430178,0.41075207771653055,0.08283168786827232,0.0828316878682723
2.559547922699533,0.043269376856332795,0.04326937685633371,0.17236185710340002,0.17236185710340035,0.3992344104917913,0.08475156079437089,0.08475156079437089
3.727593720314938,0.044910292781968994,0.04491029278196931,0.178345627589262,0.1783456275892619,0.3773744885283702,0.08805683536458375,0.08805683536458375
5.428675439323859,0.046934691557400446,0.0469346915574001,0.1860514247521175,0.18605142475211717,0.3499123334729033,0.09205771695403081,0.09205771695403081
7.9060432109076855,0.04895037802681167,0.04895037802681265,0.19393350973495907,0.19393350973495907,0.322197176339522,0.09601752406846778,0.09601752406846778
11.513953993264458,0.05075570144481337,0.050755701444813825,0.20107124182370206,0.20107124182370245,0.2972276188672013,0.09955924729788344,0.09955924729788343
16.768329368110066,0.0523055547150569,0.052305554715056865,0.2072104710050414,0.2072104710050414,0.2757692340299039,0.10259935726494983,0.10259935726494983
24.420530945486497,0.053596137870901214,0.053596137870901145,0.2123231615654935,0.21232316156549347,0.2578996294798286,0.10513088582369101,0.10513088582369101
35.564803062231285,0.05462502687250167,0.054625026872501536,0.21639914491798637,0.21639914491798629,0.24365347407305699,0.10714909117298366,0.10714909117298366
51.79474679231202,0.05538326491129213,0.05538326491129196,0.21940293407165615,0.21940293407165612,0.23315479353595928,0.10863640424907224,0.10863640424907224
75.43120063354607,0.05585985015982933,0.05585985015982966,0.22129094486394008,0.2212909448639401,0.22655592086389884,0.10957124454428105,0.10957124454428105
109.85411419875572,0.05608180546349343,0.056081805463493534,0.22217022933614702,0.22217022933614722,0.22348269358239817,0.11000661840916032,0.11000661840916032
159.98587196060572,0.05614577488400959,0.05614577488401014,0.22242364665588574,0.22242364665588593,0.2225969631444763,0.11013209688786615,0.11013209688786615
232.99518105153672,0.0561549980050424,0.056154998005042596,0.22246018440459236,0.2224601844045927,0.2224692583917157,0.11015018839450703,0.11015018839450708
339.3221771895323,0.05615550061857169,0.056155500618571386,0.2224621755274179,0.2224621755274181,0.2224622991274713,0.11015117429027484,0.11015117429027477
494.1713361323828,0.05615550754690282,0.05615550754690275,0.22246220297426883,0.22246220297426897,0.22246220319673085,0.11015118788046296,0.11015118788046296
719.6856730011514,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
1048.1131341546852,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
1526.4179671752302,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
2222.996482526191,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
3237.45754281764,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
4714.8663634573895,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
6866.488450042998,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
10000.0,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
