s,X,Y_{cj},Y_{rj},Z,T,U,V,W
0.0001,0.12501967929651053,0.12567212686676532,0.125709812936554,0.12480404000409206,0.12437727230645176,0.12500114936219983,0.12439588246765433,0.12502003675977205
0.00014563484775012445,0.12502761628847955,0.1259794261264855,0.12603436598608833,0.12471564145754108,0.12409339393216046,0.12500081087204115,0.12412037050959596,0.1250283748276079
0.00021209508879201905,0.12503800565529077,0.12642759461261344,0.12650772347350606,0.12458805932729318,0.12368031467296796,0.12499935206864116,0.12371933509476182,0.1250396150949255
0.00030888435964774815,0.12505065777966148,0.12708159971018415,0.12719854170180292,0.12440472354578187,0.1230794785307559,0.12499518325122148,0.12313574204937361,0.12505407343121835
0.0004498432668969444,0.1250638312985182,0.12803677198194968,0.12820759456148945,0.1241429908721244,0.12220609475644334,0.12498478857653564,0.12228684621574934,0.12507108173718995
0.0006551285568595509,0.12507189455783416,0.129433336928887,0.1296831784541315,0.12377310806750373,0.12093778276002788,0.12496052052588366,0.12105288841348401,0.12508729029224805
0.0009540954763499944,0.12506012997541516,0.13147809459672363,0.13184412829450456,0.12325870183526458,0.1190988663837924,0.12490596367674318,0.1192612794162993,0.12509283582125705
0.0013894954943731374,0.12499346374042099,0.13447650851678386,0.13501394257840646,0.1225619771385603,0.11643957918916573,0.12478628577336913,0.11666526921016981,0.12506297385312365
0.0020235896477251557,0.12479270565853538,0.1388786931298523,0.1396698293948093,0.12166109451982283,0.11261104277190387,0.12452865761354398,0.11291748305794111,0.12494049385359125
0.0029470517025518097,0.12428639964323206,0.14533881900100695,0.14650636426182903,0.1205968478077983,0.10714257295677874,0.12398430161266631,0.10754408942218904,0.12460060529449955
0.004291934260128779,0.1231207634346157,0.15476645157841862,0.15649151612602324,0.11958457459840921,0.09944441935671183,0.12286240637495886,0.0999419796959992,0.12378788883486329
0.0062505519252739694,0.12062157405527718,0.16827058854005789,0.17081163712168512,0.11925267401282653,0.08890101378122377,0.12064563710331791,0.08946534137388915,0.1220315340117223
0.009102981779915217,0.11570138502256934,0.1866774403969467,0.19037502906624937,0.12104537953030056,0.07519717102524774,0.11660441751234964,0.07575325488358302,0.11864592256275372
0.013257113655901081,0.10724008759229879,0.20897431593211682,0.214216634323174,0.12751082127508853,0.059028604549480106,0.1103316953312241,0.05947235725772129,0.11322548373889642
0.019306977288832496,0.09564318541857009,0.22976706683411047,0.2369372462671456,0.1413071176240949,0.04279214054862952,0.10330908369030396,0.043073494332477195,0.10717066528466827
0.02811768697974228,0.08432146603959166,0.2401386702821489,0.24957285086907077,0.16218808742955718,0.029640645389294156,0.09974448096278661,0.029840050862690055,0.10455374816486063
0.040949150623804234,0.07671636586829114,0.23657023351989462,0.2480385797182686,0.18633495691296229,0.02097231216947474,0.1023342987044892,0.02121325212638868,0.10782000098023077
0.05963623316594643,0.07213877027121361,0.22567555956862895,0.23741502362704042,0.2107918151463445,0.016221888046893316,0.10793813097026897,0.016519930053239693,0.11329888231637059
0.08685113737513521,0.0682976122064287,0.21511699800947184,0.22452592634714325,0.2352705916708607,0.01417917552763304,0.11200668017917294,0.014459478869678433,0.11614353718961103
0.12648552168552957,0.06448748265540362,0.20678100585381365,0.21242468492485078,0.2605279086284788,0.01348824321868141,0.11312107358381254,0.013691839769131972,0.11547776136582731
