s,X,Y_{cj},Y_{rj},Z,T,V
0.0001,0.16670244748699622,0.16729336146874363,0.1673267219798865,0.16675621581528616,0.16594404839187363,0.1659772048572139
0.00014563484775012445,0.16671745024608628,0.16757936206232424,0.16762790399023092,0.16679826247233487,0.16561445549900794,0.1656625657300158
0.00021209508879201905,0.16673781524143022,0.16799587452753836,0.16806647771927152,0.16686082336047164,0.16513465912509714,0.165204350026191
0.00030888435964774815,0.16676433309200137,0.16860241774307466,0.16870504519291438,0.16695476262098202,0.16443636927584607,0.16453707207518165
0.0004498432668969444,0.16679630802935969,0.16948556435046966,0.16963460433309877,0.16709759398486768,0.16342046980865338,0.1635654594935508
0.0006551285568595509,0.16682884273858956,0.17077101320976604,0.17098714855560987,0.16731847733538482,0.16194343734998579,0.16215108081066396
0.0009540954763499944,0.16684669125421672,0.17264057025198729,0.1729533187273998,0.16766770786079202,0.15979833422630477,0.16009337767929946
0.0013894954943731374,0.16681085728318787,0.17535495507623056,0.17580592573169815,0.16823543969313043,0.1566892268144122,0.15710359540134083
0.0020235896477251557,0.16663061561513556,0.1792809384203756,0.17992754063503685,0.1691894144087241,0.15219978813467433,0.15277170278605348
0.0029470517025518097,0.1661084261185473,0.18491204383689244,0.18583043237861732,0.170851896471065,0.14576407099928704,0.14653313019559105
0.004291934260128779,0.16484365966911171,0.19284220623085474,0.1941259910594604,0.17385409996330162,0.13666969015610722,0.13766435292116447
0.0062505519252739694,0.16211081199032176,0.2035704396822071,0.20531776265891422,0.1794235633346553,0.1241811441713432,0.1253962781625584
0.009102981779915217,0.1568791934309947,0.21685779349926568,0.21913890591736565,0.1898036746759991,0.10797358015614412,0.1093468523202307
0.013257113655901081,0.14850928032916222,0.2303610275468089,0.23318579472028994,0.20842437597904584,0.08904817075814933,0.09047135066654365
0.019306977288832496,0.13853359640019425,0.238559973540298,0.24193244210448325,0.23860003030840365,0.07048536526360191,0.07188859238301883
0.02811768697974228,0.13101999763334252,0.23570328296843454,0.23974236590085002,0.2801571335005719,0.05597684333117186,0.05740037666562917
0.040949150623804234,0.12771268426113638,0.22248904345951817,0.2272129417868794,0.3277117834248955,0.04669220866966511,0.04818133839790535
0.05963623316594643,0.12518653351289188,0.2058964242173543,0.21081393214156546,0.37392302028968555,0.04136206794471897,0.04281802189378376
0.08685113737513521,0.12045167355227515,0.1912641741882885,0.19558336419149977,0.41455577912432096,0.03845662824298225,0.03968838070063331
0.12648552168552957,0.11395243215632234,0.17908693892757763,0.18222635134191087,0.4501875119873704,0.03683712699172838,0.03770963859509052
0.18420699693267145,0.10699617870954171,0.16820029631517378,0.1700294207061582,0.4827865221863901,0.0357433224489174,0.03624425963381878
