r,X,Y,Z,V
2.8,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
2.9,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
3.0,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
3.1,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
3.2,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
3.3,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
3.4,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
3.5,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
3.6,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
3.7,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
3.8,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
3.9,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
4.0,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
4.1,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
4.2,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
4.3,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
4.4,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
4.5,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
4.6,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
4.7,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
4.8,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
4.9,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
5.0,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
5.1,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
5.2,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
5.3,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
5.4,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
5.5,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
5.6,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
5.7,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
5.8,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
5.9,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
6.0,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
