phi,X,Y_{cj},Y_{rj},Z,T,U,V,W
0.0,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.05,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.1,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.15,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.2,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.25,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.3,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.35,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.4,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.45,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.5,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.55,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.6,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.65,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.7,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.75,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
